ScenarioID,CountryID,Year,NHH_GR,PassTransIntensity,FreightTransIntensity,ShDe_PassPrivCar,ShDe_PassPublicTrans,ShDe_PassPlane,ShDe_FreightTransRoad,ShDe_FreightTransRail,ShTrip_CarU,ShTrip_CarR,ShTrip_CarH,FreightTrans_EU_CEC,P_NM_a_GDP,P_Bic_a_GDP,P_Moto_a_GDP,P_CAR_a_GDP,P_BUS_a_GDP,P_TRAIN_a_GDP,P_PLANE_a_GDP,F_TRUCK_a_GDP,F_TRAIN_a_GDP,F_SHIP_I_a_GDP,F_SHIP_C_a_GDP,F_SHIP_M_a_GDP,F_Plane_a_GDP,P_NM_a_NHH,P_Bic_a_NHH,P_Moto_a_NHH,P_CAR_a_NHH,P_BUS_a_NHH,P_TRAIN_a_NHH,P_PLANE_a_NHH,F_TRUCK_a_NHH,F_TRAIN_a_NHH,F_SHIP_I_a_NHH,F_SHIP_C_a_NHH,F_SHIP_M_a_NHH,F_Plane_a_NHH,Q_Car_U,Q_Car_R,Q_Car_M,Q_Moto_U,Q_Moto_R,Q_Moto_M,Q_BUS_U,Q_BUS_R,Q_BUS_M,Q_Train_U,Q_Train_R,Q_Train_IC,Q_Train_HSR,Q_Truck_U,Q_Truck_R,Q_Truck_M,Q_PlaneP_D,Q_PlaneP_I,Q_PlaneF_D,Q_PlaneF_I,ATL_Car_u,ATL_Car_r,ATL_Car_m,ATL_Bus_u,ATL_Bus_r,ATL_Bus_m,ATL_Moto_u,ATL_Moto_r,ATL_Moto_m,ATL_P_Plane_C,ATL_Truck_u,ATL_Truck_r,ATL_Truck_m,ATL_F_Plane_C,CEDP_Total,CEDP_Car,CEDP_BUS,CEDP_Train,CEDP_Plane,CEDF_Total,CEDF_Truck,CEDF_Ship_i,CEDF_Train,CEDF_Plane
1,9,2012,1,1,1,1,1,1,1,1,1,1,1,1,22.00000,2.00000,7.54200,9.90300,35.04100,0.11300,0.49210,8.85519,5.50623,1.50623,10.50623,0.00000,0.29497,,,,,,,,,,,,,,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2013,0,0,0,0,0,0,0,0,0,0,0,0,0.50000,0.50000,1.20000,0.30000,-0.30000,0.50000,0.50000,0.80000,0.80000,-0.10000,-0.10000,0.80000,0.80000,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2014,0,0,0,0,0,0,0,0,0,0,0,0,0.49770,0.49770,1.20000,0.29770,-0.29770,0.49770,0.49770,0.79655,0.79655,-0.10000,-0.10000,0.79655,0.79655,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2015,3.672844,0,0,0,0,0,0,0,0,0,0,0,0.49540,0.49540,1.20000,0.29540,-0.29540,0.49540,0.49540,0.79310,0.79310,-0.10000,-0.10000,0.79310,0.79310,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2016,3.590931,0,0,0,0,0,0,0,0,0,0,0,0.49310,0.49310,1.20000,0.29310,-0.29310,0.49310,0.49310,0.78966,0.78966,-0.10000,-0.10000,0.78966,0.78966,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2017,3.513937,0,0,0,0,0,0,0,0,0,0,0,0.49080,0.49080,1.20000,0.29080,-0.29080,0.49080,0.49080,0.78621,0.78621,-0.10000,-0.10000,0.78621,0.78621,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2018,3.441467,0,0,0,0,0,0,0,0,0,0,0,0.48851,0.48851,1.20000,0.28851,-0.28851,0.48851,0.48851,0.78276,0.78276,-0.10000,-0.10000,0.78276,0.78276,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2019,3.373187,0,0,0,0,0,0,0,0,0,0,0,0.48621,0.48621,1.20000,0.28621,-0.28621,0.48621,0.48621,0.77931,0.77931,-0.10000,-0.10000,0.77931,0.77931,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2020,7.62442,0,0,0,0,0,0,0,0,0,0,0,0.48391,0.48391,1.20000,0.28391,-0.28391,0.48391,3.00000,0.77586,0.77586,-0.10000,-0.10000,0.77586,0.77586,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.402429,0.414228,0.183343,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
1,9,2021,3.505109,0,0,0,0,0,0,0,0,0,0,0,0.48161,0.48161,1.20000,0.28161,-0.28161,0.48161,3.00000,0.76828,0.77241,-0.10000,-0.10000,0.77241,0.77241,0.50000,0.50000,1.20000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.403850,0.412810,0.183340,0.535175,0.390555,0.074269,1.000000,1.000000,1.000000,0.163183,0.527195,0.294622,0.015000,0.392490,0.411910,0.195600,1.000000,1.000000,0.004335,0.995665,5,8.4,15.2,8.2059,21.2388,158.1647,10.4585,17.55419,32.0191,3118.2,10,50,100,3260,0.38,0.595,0.28,0.26,0.704,0.7,0.9,0.9,1.2,0.9
