Year,Scenario,Tech.VehType,Tech.Fuel,Value
2015,"Omoka (""Growth"")",Motorcycle,Gasoline,3.3378578930078127
2015,"Omoka (""Growth"")",Car,Gasoline,2.4775435063300577
2015,"Omoka (""Growth"")",Car,Diesel,1.3488231846981138
2015,"Omoka (""Growth"")",Bus,Diesel,5.339176240610253
2015,"Omoka (""Growth"")",Bus,Gasoline,0.03882655250549319
2015,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,0.00002991095465926456
2015,"Omoka (""Growth"")",Bus,Compressed Natural Gas,0.03468824620056157
2015,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,0.03894160917852144
2015,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",0.003811931417554619
2015,"Omoka (""Growth"")",Truck,Diesel,4.631467786296211
2015,"Omoka (""Growth"")",Truck,Gasoline,0.6609230290456074
2015,"Omoka (""Growth"")",Truck,Compressed Natural Gas,0.008735348075866694
2015,"Omoka (""Growth"")",Train,Diesel,0.11371279978450821
2015,"Omoka (""Growth"")",Ship,Diesel,1.9865109211412504
2015,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),0.65089624059628
2030,"Omoka (""Growth"")",Motorcycle,Gasoline,1.1390154677783202
2030,"Omoka (""Growth"")",Car,Gasoline,2.6371438590929737
2030,"Omoka (""Growth"")",Car,Diesel,1.8871810730221654
2030,"Omoka (""Growth"")",Bus,Diesel,2.267559472194651
2030,"Omoka (""Growth"")",Bus,Gasoline,0.039170375592470136
2030,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,0.0003760985647781111
2030,"Omoka (""Growth"")",Bus,Compressed Natural Gas,0.003403472372055051
2030,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,0.003689055686344682
2030,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",0.0018675348980370854
2030,"Omoka (""Growth"")",Truck,Diesel,7.341040487653109
2030,"Omoka (""Growth"")",Truck,Gasoline,1.1488662012891133
2030,"Omoka (""Growth"")",Truck,Compressed Natural Gas,0.00003432145357877011
2030,"Omoka (""Growth"")",Train,Diesel,0.06638081309328119
2030,"Omoka (""Growth"")",Ship,Diesel,2.0008114615734294
2030,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),0.7439402557231013
2040,"Omoka (""Growth"")",Motorcycle,Gasoline,0.08174316003113277
2040,"Omoka (""Growth"")",Car,Gasoline,1.633963772390609
2040,"Omoka (""Growth"")",Car,Diesel,1.1365239711970636
2040,"Omoka (""Growth"")",Bus,Gasoline,0.004942635619167935
2040,"Omoka (""Growth"")",Bus,Diesel,0.14277922143828303
2040,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,0.00006607265488081201
2040,"Omoka (""Growth"")",Bus,Compressed Natural Gas,2.7244690762017902e-8
2040,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,5.0274682445978105e-9
2040,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",0.00009498483628872784
2040,"Omoka (""Growth"")",Truck,Diesel,6.276919728995491
2040,"Omoka (""Growth"")",Truck,Gasoline,0.6371705116667403
2040,"Omoka (""Growth"")",Train,Diesel,0.058805084454411745
2040,"Omoka (""Growth"")",Ship,Diesel,2.0314639546859894
2040,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),0.7771232969170033
2050,"Omoka (""Growth"")",Motorcycle,Gasoline,0.011127067322082518
2050,"Omoka (""Growth"")",Car,Gasoline,0.9656427554079405
2050,"Omoka (""Growth"")",Car,Diesel,0.6522346473883883
2050,"Omoka (""Growth"")",Bus,Diesel,0.013090184912723646
2050,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",0.000008766024882381319
2050,"Omoka (""Growth"")",Truck,Diesel,4.028485906027335
2050,"Omoka (""Growth"")",Truck,Gasoline,0.2504094160225431
2050,"Omoka (""Growth"")",Train,Diesel,0.012651719045688277
2050,"Omoka (""Growth"")",Ship,Diesel,2.044987013851634
2050,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),0.7301136912225545
2050,"Omoka (""Growth"")",Bus,Gasoline,0.00007282335163652895
2050,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,6.512339540326502e-7
2015,Electric Dreams,Motorcycle,Gasoline,3.3191377801171873
2015,Electric Dreams,Car,Gasoline,2.4765387659063585
2015,Electric Dreams,Car,Diesel,1.349389652200523
2015,Electric Dreams,Bus,Diesel,5.346508570896358
2015,Electric Dreams,Bus,Gasoline,0.038824811511993386
2015,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,0.000029922714837911757
2015,Electric Dreams,Bus,Compressed Natural Gas,0.03469350511169431
2015,Electric Dreams,Bus,Liquified Petroleum Gas,0.038940387156056376
2015,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",0.003829616877019407
2015,Electric Dreams,Truck,Diesel,4.603322083528988
2015,Electric Dreams,Truck,Gasoline,0.655169489907428
2015,Electric Dreams,Truck,Compressed Natural Gas,0.008701134437561027
2015,Electric Dreams,Train,Diesel,0.11303851132868684
2015,Electric Dreams,Ship,Diesel,1.9882156791431786
2015,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),0.6494454284521086
2030,Electric Dreams,Motorcycle,Gasoline,0.8681851639672852
2030,Electric Dreams,Car,Gasoline,3.6043505056239704
2030,Electric Dreams,Car,Diesel,2.7645348289241074
2030,Electric Dreams,Bus,Diesel,3.3027893825015577
2030,Electric Dreams,Bus,Gasoline,0.03934443898609283
2030,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,0.00042363814242161183
2030,Electric Dreams,Bus,Compressed Natural Gas,0.0036634584312439013
2030,Electric Dreams,Bus,Liquified Petroleum Gas,0.003999288574718671
2030,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",0.0024700743191838253
2030,Electric Dreams,Truck,Diesel,7.021281486815135
2030,Electric Dreams,Truck,Gasoline,1.088718541980777
2030,Electric Dreams,Truck,Compressed Natural Gas,0.000034317784354090694
2030,Electric Dreams,Train,Diesel,0.05469968823142625
2030,Electric Dreams,Ship,Diesel,2.0111515741679495
2030,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),0.7679093303169304
2040,Electric Dreams,Motorcycle,Gasoline,0.017298567439402335
2040,Electric Dreams,Car,Gasoline,1.8997503671977134
2040,Electric Dreams,Car,Diesel,1.509241629436785
2040,Electric Dreams,Bus,Gasoline,0.008091507948929908
2040,Electric Dreams,Bus,Diesel,1.0003225601923782
2040,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,0.00015933796465532064
2040,Electric Dreams,Bus,Compressed Natural Gas,2.5626193004427454e-8
2040,Electric Dreams,Bus,Liquified Petroleum Gas,5.055314730300786e-9
2040,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",0.0007781875871643429
2040,Electric Dreams,Truck,Diesel,5.93277898140754
2040,Electric Dreams,Truck,Gasoline,0.43504176101622405
2040,Electric Dreams,Train,Diesel,0.04384992283069519
2040,Electric Dreams,Ship,Diesel,2.046946330546152
2040,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),0.942498598506002
2050,Electric Dreams,Motorcycle,Gasoline,0.002101035212326051
2050,Electric Dreams,Car,Gasoline,1.4776459559517037
2050,Electric Dreams,Car,Diesel,0.8640311179223156
2050,Electric Dreams,Bus,Gasoline,0.0005994658336776773
2050,Electric Dreams,Bus,Diesel,0.33969781592768566
2050,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",0.00023847824400663342
2050,Electric Dreams,Truck,Diesel,4.147179963084288
2050,Electric Dreams,Truck,Gasoline,0.036925822697077865
2050,Electric Dreams,Train,Diesel,0.009553060551873528
2050,Electric Dreams,Ship,Diesel,2.0665205517272165
2050,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),0.7992091998544695
2050,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,0.00001410044458569028
2015,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,2.552160323168945
2015,"Kujinao (""Know yourself"")",Car,Gasoline,2.4721594881905715
2015,"Kujinao (""Know yourself"")",Car,Diesel,1.3488759708911688
2015,"Kujinao (""Know yourself"")",Bus,Diesel,5.21916709230812
2015,"Kujinao (""Know yourself"")",Bus,Gasoline,0.01163945875083841
2015,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,0.00003993218904191798
2015,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,0.06011477514648432
