Year,Tech.VehType,Value
2015,Motorcycle,3.31913778
2015,Car,3.825928418
2015,Bus,5.462826814
2015,Truck,4.602138497
2015,Train,0.114677183
2015,Ship,1.995499862
2015,Aeroplane,0.652327142
2016,Motorcycle,3.560228512
2016,Car,4.073001252
2016,Bus,5.201596841
2016,Truck,4.796254345
2016,Train,0.108127809
2016,Ship,1.948290413
2016,Aeroplane,0.636363036
2017,Motorcycle,3.587693288
2017,Car,4.13185538
2017,Bus,5.007763339
2017,Truck,4.813699479
2017,Train,0.100230717
2017,Ship,1.969098613
2017,Aeroplane,0.647278117
2018,Motorcycle,3.601794112
2018,Car,4.277727545
2018,Bus,4.931284785
2018,Truck,4.819421487
2018,Train,0.094316693
2018,Ship,1.976920998
2018,Aeroplane,0.660381037
2019,Motorcycle,3.580338734
2019,Car,4.361179058
2019,Bus,5.005301252
2019,Truck,4.85351115
2019,Train,0.089089368
2019,Ship,1.988512277
2019,Aeroplane,0.669891268
2020,Motorcycle,2.816266062
2020,Car,3.438455325
2020,Bus,3.959232863
2020,Truck,4.677903955
2020,Train,0.079764916
2020,Ship,2.00864269
2020,Aeroplane,0.577233824
2021,Motorcycle,2.802852505
2021,Car,4.275841088
2021,Bus,4.401660703
2021,Truck,4.807503793
2021,Train,0.077977689
2021,Ship,2.011877673
2021,Aeroplane,0.639748222
2022,Motorcycle,2.701023736
2022,Car,5.04971124
2022,Bus,4.68007619
2022,Truck,4.791176512
2022,Train,0.074971764
2022,Ship,2.069439391
2022,Aeroplane,0.69390862
2023,Motorcycle,2.506697443
2023,Car,5.118091733
2023,Bus,4.607608135
2023,Truck,4.21739148
2023,Train,0.07204248
2023,Ship,1.899314133
2023,Aeroplane,0.571981176
2024,Motorcycle,2.327898748
2024,Car,6.068635872
2024,Bus,4.856451089
2024,Truck,4.563062127
2024,Train,0.070208701
2024,Ship,2.111583851
2024,Aeroplane,0.79474363
2025,Motorcycle,2.072854356
2025,Car,5.902904818
2025,Bus,4.538132491
2025,Truck,4.788498665
2025,Train,0.068918815
2025,Ship,1.982552283
2025,Aeroplane,0.756744551
2026,Motorcycle,1.824220308
2026,Car,6.116734204
2026,Bus,4.374298802
2026,Truck,4.839608532
2026,Train,0.066500735
2026,Ship,2.048906397
2026,Aeroplane,0.757169289
2027,Motorcycle,1.570442351
2027,Car,6.291773378
2027,Bus,4.17659103
2027,Truck,4.866626881
2027,Train,0.064335605
2027,Ship,2.022850572
2027,Aeroplane,0.753331022
2028,Motorcycle,1.321891286
2028,Car,6.368150688
2028,Bus,3.944810968
2028,Truck,4.892645039
2028,Train,0.062189007
2028,Ship,2.042880824
2028,Aeroplane,0.765030794
2029,Motorcycle,1.085808237
2029,Car,6.441583116
2029,Bus,3.67098822
2029,Truck,4.91848598
2029,Train,0.060377802
2029,Ship,2.040227065
2029,Aeroplane,0.776812213
2030,Motorcycle,0.868185164
2030,Car,6.368885335
2030,Bus,3.352690281
2030,Truck,4.94826935
2030,Train,0.058745035
2030,Ship,2.048872725
2030,Aeroplane,0.78763539
2031,Motorcycle,0.673556838
2031,Car,6.128277976
2031,Bus,3.011106546
2031,Truck,4.97336306
2031,Train,0.058628589
2031,Ship,2.051907872
2031,Aeroplane,0.82593505
2032,Motorcycle,0.507304138
2032,Car,5.876750002
2032,Bus,2.667098257
2032,Truck,5.019466969
2032,Train,0.058289539
2032,Ship,2.057614795
2032,Aeroplane,0.867639494
2033,Motorcycle,0.370548305
2033,Car,5.529978588
2033,Bus,2.34401004
2033,Truck,5.072086282
2033,Train,0.057818436
2033,Ship,2.062129742
2033,Aeroplane,0.907772745
2034,Motorcycle,0.262457743
2034,Car,5.276501558
2034,Bus,2.053053149
2034,Truck,5.133247415
2034,Train,0.057182131
2034,Ship,2.067328521
2034,Aeroplane,0.947077065
2035,Motorcycle,0.180056724
2035,Car,4.985121932
2035,Bus,1.812105189
2035,Truck,5.192002907
2035,Train,0.056363269
2035,Ship,2.072302255
2035,Aeroplane,0.96606165
2036,Motorcycle,0.119716358
2036,Car,4.678937168
2036,Bus,1.609541071
2036,Truck,5.255134864
2036,Train,0.055289017
2036,Ship,2.077272979
2036,Aeroplane,0.977660675
2037,Motorcycle,0.077132439
2037,Car,4.370933067
2037,Bus,1.440587023
2037,Truck,5.327309239
2037,Train,0.053930491
2037,Ship,2.082193939
2037,Aeroplane,0.982203686
2038,Motorcycle,0.048158466
2038,Car,4.006379992
2038,Bus,1.286249994
2038,Truck,5.407542036
2038,Train,0.052234693
2038,Ship,2.087023578
2038,Aeroplane,0.982544717
2039,Motorcycle,0.029206456
2039,Car,3.707705974
2039,Bus,1.145547484
2039,Truck,5.493622118
2039,Train,0.050143596
2039,Ship,2.09166061
2039,Aeroplane,0.981019272
2040,Motorcycle,0.017298567
2040,Car,3.408991997
2040,Bus,1.009351624
2040,Truck,5.584639896
2040,Train,0.047617571
2040,Ship,2.096044123
2040,Aeroplane,0.979020906
2041,Motorcycle,0.010190432
2041,Car,3.131738423
2041,Bus,0.886043825
2041,Truck,5.667322328
2041,Train,0.04461063
2041,Ship,2.100098823
2041,Aeroplane,0.975983294
2042,Motorcycle,0.006182693
2042,Car,2.895656868
2042,Bus,0.780098967
2042,Truck,5.768295702
2042,Train,0.041112515
2042,Ship,2.103752358
2042,Aeroplane,0.970546091
2043,Motorcycle,0.00405931
2043,Car,2.679949602
2043,Bus,0.692270895
2043,Truck,5.879867371
2043,Train,0.037163393
2043,Ship,2.107111414
2043,Aeroplane,0.961749116
2044,Motorcycle,0.003006574
2044,Car,2.528574623
2044,Bus,0.621298983
2044,Truck,6.004577789
2044,Train,0.03285214
2044,Ship,2.110082413
2044,Aeroplane,0.949239905
2045,Motorcycle,0.002510827
2045,Car,2.422209051
2045,Bus,0.559557118
2045,Truck,6.129790571
2045,Train,0.028342491
2045,Ship,2.112763813
2045,Aeroplane,0.930733861
2046,Motorcycle,0.002286977
2046,Car,2.359098456
2046,Bus,0.506699749
2046,Truck,6.242162412
2046,Train,0.023848497
2046,Ship,2.115075174
2046,Aeroplane,0.910693875
2047,Motorcycle,0.002185863
2047,Car,2.332429958
2047,Bus,0.460066261
2047,Truck,6.362675319
2047,Train,0.019621068
2047,Ship,2.11708122
2047,Aeroplane,0.890889091
2048,Motorcycle,0.002137956
2048,Car,2.316168349
2048,Bus,0.417357632
2048,Truck,6.483186476
2048,Train,0.015896561
2048,Ship,2.118848547
2048,Aeroplane,0.874025995
2049,Motorcycle,0.002114568
2049,Car,2.323321953
2049,Bus,0.37752942
2049,Truck,6.601614622
2049,Train,0.012840698
2049,Ship,2.120354114
2049,Aeroplane,0.862670246
2050,Motorcycle,0.002101035
2050,Car,2.341677074
2050,Bus,0.34054986
2050,Truck,6.720359297
2050,Train,0.010522246
2050,Ship,2.121621463
2050,Aeroplane,0.857496224
