Year,Tech.VehType,Value
2015,Motorcycle,3.337858226
2015,Car,3.826355921
2015,Bus,5.455475167
2015,Truck,4.625415497
2015,Train,0.115392691
2015,Ship,1.993913775
2015,Aeroplane,0.653849644
2016,Motorcycle,3.591068165
2016,Car,4.073369405
2016,Bus,5.178773114
2016,Truck,4.822716322
2016,Train,0.108894364
2016,Ship,1.946543826
2016,Aeroplane,0.638131247
2017,Motorcycle,3.636528154
2017,Car,4.132410231
2017,Bus,4.956913028
2017,Truck,4.843331957
2017,Train,0.101004391
2017,Ship,1.967178533
2017,Aeroplane,0.649257597
2018,Motorcycle,3.6892502
2018,Car,4.278524017
2018,Bus,4.823045102
2018,Truck,4.859293172
2018,Train,0.095228878
2018,Ship,1.974488835
2018,Aeroplane,0.662940479
2019,Motorcycle,3.729331186
2019,Car,4.362522975
2019,Bus,4.784247943
2019,Truck,4.901520974
2019,Train,0.09009968
2019,Ship,1.985634659
2019,Aeroplane,0.67297842
2020,Motorcycle,2.938917929
2020,Car,3.440570539
2020,Bus,3.785755716
2020,Truck,4.712913481
2020,Train,0.080496194
2020,Ship,2.006350961
2020,Aeroplane,0.579181075
2021,Motorcycle,3.047572593
2021,Car,4.065068302
2021,Bus,3.937466432
2021,Truck,4.863695756
2021,Train,0.080988565
2021,Ship,2.008682426
2021,Aeroplane,0.640558408
2022,Motorcycle,2.968420191
2022,Car,4.584911557
2022,Bus,4.020199124
2022,Truck,4.846266994
2022,Train,0.079990974
2022,Ship,2.06612802
2022,Aeroplane,0.690745447
2023,Motorcycle,2.765372667
2023,Car,4.432800058
2023,Bus,3.92735015
2023,Truck,4.278738633
2023,Train,0.078730723
2023,Ship,1.895592467
2023,Aeroplane,0.567650652
2024,Motorcycle,2.614831294
2024,Car,5.044688167
2024,Bus,3.900626716
2024,Truck,4.640366878
2024,Train,0.078506127
2024,Ship,2.10692749
2024,Aeroplane,0.782141718
2025,Motorcycle,2.347862773
2025,Car,4.708175578
2025,Bus,3.709701086
2025,Truck,4.899910959
2025,Train,0.078081511
2025,Ship,1.976361282
2025,Aeroplane,0.744567848
2026,Motorcycle,2.100197092
2026,Car,4.687928958
2026,Bus,3.519818992
2026,Truck,4.954768633
2026,Train,0.076472645
2026,Ship,2.041810439
2026,Aeroplane,0.742164414
2027,Motorcycle,1.847513014
2027,Car,4.657373407
2027,Bus,3.291982671
2027,Truck,4.991723685
2027,Train,0.074962844
2027,Ship,2.01507451
2027,Aeroplane,0.736568393
2028,Motorcycle,1.599175364
2028,Car,4.593485308
2028,Bus,3.013928288
2028,Truck,5.048799192
2028,Train,0.073327959
2028,Ship,2.034208667
2028,Aeroplane,0.745851585
2029,Motorcycle,1.361554834
2029,Car,4.570511391
2029,Bus,2.686740708
2029,Truck,5.123214636
2029,Train,0.071923442
2029,Ship,2.030607464
2029,Aeroplane,0.755602899
2030,Motorcycle,1.138989845
2030,Car,4.533458743
2030,Bus,2.316073813
2030,Truck,5.212952617
2030,Train,0.070586138
2030,Ship,2.038264144
2030,Aeroplane,0.764442186
2031,Motorcycle,0.935253321
2031,Car,4.493168063
2031,Bus,1.922853668
2031,Truck,5.296117202
2031,Train,0.071739857
2031,Ship,2.04027334
2031,Aeroplane,0.776077377
2032,Motorcycle,0.755647707
2032,Car,4.444217895
2032,Bus,1.534856122
2032,Truck,5.390051649
2032,Train,0.072405987
2032,Ship,2.045060839
2032,Aeroplane,0.788502903
2033,Motorcycle,0.601214023
2033,Car,4.308690088
2033,Bus,1.180522451
2033,Truck,5.479772526
2033,Train,0.072726165
2033,Ship,2.048630933
2033,Aeroplane,0.80139948
2034,Motorcycle,0.471864025
2034,Car,4.141995754
2034,Bus,0.881719022
2034,Truck,5.570006926
2034,Train,0.072686834
2034,Ship,2.052934265
2034,Aeroplane,0.814278962
2035,Motorcycle,0.365290786
2035,Car,3.955070407
2035,Bus,0.648209397
2035,Truck,5.648128908
2035,Train,0.07225819
2035,Ship,2.056987892
2035,Aeroplane,0.819045419
2036,Motorcycle,0.27881558
2036,Car,3.742827875
2036,Bus,0.477126682
2036,Truck,5.729030826
2036,Train,0.071388451
2036,Ship,2.061056008
2036,Aeroplane,0.820637373
2037,Motorcycle,0.209853075
2037,Car,3.533138777
2037,Bus,0.355207792
2037,Truck,5.818578
2037,Train,0.070037268
2037,Ship,2.065046092
2037,Aeroplane,0.819507964
2038,Motorcycle,0.155553008
2038,Car,3.264191802
2038,Bus,0.266876342
2038,Truck,5.914668752
2038,Train,0.068157619
2038,Ship,2.068949605
2038,Aeroplane,0.817170196
2039,Motorcycle,0.113570127
2039,Car,3.046111867
2039,Bus,0.200116184
2039,Truck,6.014186586
2039,Train,0.065669184
2039,Ship,2.072651541
2039,Aeroplane,0.814874479
2040,Motorcycle,0.081723311
2040,Car,2.827546579
2040,Bus,0.147889165
2040,Truck,6.115424812
2040,Train,0.062538685
2040,Ship,2.076101316
2040,Aeroplane,0.813435246
2041,Motorcycle,0.058318837
2041,Car,2.609093014
2041,Bus,0.107498859
2041,Truck,6.203346799
2041,Train,0.058714098
2041,Ship,2.079221038
2041,Aeroplane,0.812436381
2042,Motorcycle,0.041750523
2042,Car,2.413882802
2042,Bus,0.077352142
2042,Truck,6.30729117
2042,Train,0.054176648
2042,Ship,2.081939214
2042,Aeroplane,0.810730476
2043,Motorcycle,0.030447995
2043,Car,2.222149587
2043,Bus,0.055950345
2043,Truck,6.41907026
2043,Train,0.048990342
2043,Ship,2.084366674
2043,Aeroplane,0.807649598
2044,Motorcycle,0.023041681
2044,Car,2.071327001
2044,Bus,0.041527574
2044,Truck,6.542824712
2044,Train,0.04328477
2044,Ship,2.086404255
2044,Aeroplane,0.803033605
2045,Motorcycle,0.018326037
2045,Car,1.946533136
2045,Bus,0.031928549
2045,Truck,6.666435011
2045,Train,0.037288631
2045,Ship,2.088150154
2045,Aeroplane,0.79513018
2046,Motorcycle,0.015396565
2046,Car,1.84921425
2046,Bus,0.0255848
2046,Truck,6.77743937
2046,Train,0.031300719
2046,Ship,2.089518337
2046,Aeroplane,0.786972612
2047,Motorcycle,0.013577911
2047,Car,1.778940134
2047,Bus,0.021180431
2047,Truck,6.900869803
2047,Train,0.025665876
2047,Ship,2.090569317
2047,Aeroplane,0.780238525
2048,Motorcycle,0.012422305
2048,Car,1.721242355
2048,Bus,0.017888481
2048,Truck,7.028502568
2048,Train,0.020707382
2048,Ship,2.091371935
2048,Aeroplane,0.776879057
2049,Motorcycle,0.011660938
2049,Car,1.686991728
2049,Bus,0.015284443
2049,Truck,7.158044654
2049,Train,0.016649396
2049,Ship,2.091902278
2049,Aeroplane,0.778755177
2050,Motorcycle,0.011124524
2050,Car,1.66659179
2050,Bus,0.013173761
2050,Truck,7.291426216
2050,Train,0.013585337
2050,Ship,2.092186825
2050,Aeroplane,0.786394284
