Year,Tech.VehType,Value
2015,Motorcycle,3.343193813
2015,Car,3.764924657
2015,Bus,5.465561561
2015,Truck,4.497466353
2015,Train,0.130274767
2015,Ship,2.002572793
2015,Aeroplane,0.648390795
2016,Motorcycle,3.599863022
2016,Car,4.004486338
2016,Bus,5.209139255
2016,Truck,4.665613249
2016,Train,0.131988868
2016,Ship,1.95670558
2016,Aeroplane,0.632165343
2017,Motorcycle,3.65040509
2017,Car,4.054727692
2017,Bus,5.02391919
2017,Truck,4.642785574
2017,Train,0.131876588
2017,Ship,1.980117121
2017,Aeroplane,0.64313806
2018,Motorcycle,3.710302029
2018,Car,4.192090385
2018,Bus,4.961400309
2018,Truck,4.606364352
2018,Train,0.134741957
2018,Ship,1.990576667
2018,Aeroplane,0.655184291
2019,Motorcycle,3.76108579
2019,Car,4.268655361
2019,Bus,5.062007157
2019,Truck,4.61449432
2019,Train,0.137166777
2019,Ship,2.005477186
2019,Aeroplane,0.664004053
2020,Motorcycle,2.964419656
2020,Car,3.361939955
2020,Bus,4.004425584
2020,Truck,4.470222719
2020,Train,0.133621256
2020,Ship,2.02540971
2020,Aeroplane,0.575473173
2021,Motorcycle,3.292300864
2021,Car,3.967455448
2021,Bus,4.64836712
2021,Truck,4.534716684
2021,Train,0.140110081
2021,Ship,2.033482379
2021,Aeroplane,0.632712118
2022,Motorcycle,3.400138579
2022,Car,4.449999801
2022,Bus,5.157747222
2022,Truck,4.532288405
2022,Train,0.146326841
2022,Ship,2.092924198
2022,Aeroplane,0.688570586
2023,Motorcycle,3.235414004
2023,Car,4.290068145
2023,Bus,5.155543409
2023,Truck,4.070398961
2023,Train,0.150713019
2023,Ship,1.923261056
2023,Aeroplane,0.564251459
2024,Motorcycle,3.320479766
2024,Car,4.867327557
2024,Bus,5.673868389
2024,Truck,4.347172482
2024,Train,0.15557489
2024,Ship,2.142950324
2024,Aeroplane,0.787658151
2025,Motorcycle,3.042353073
2025,Car,4.528016014
2025,Bus,5.384016066
2025,Truck,4.505560164
2025,Train,0.161888614
2025,Ship,2.017951615
2025,Aeroplane,0.743490245
2026,Motorcycle,2.86784048
2026,Car,4.500763927
2026,Bus,5.33515695
2026,Truck,4.565442376
2026,Train,0.167671287
2026,Ship,2.087797055
2026,Aeroplane,0.741342849
2027,Motorcycle,2.677023816
2027,Car,4.454125585
2027,Bus,5.254596112
2027,Truck,4.613597554
2027,Train,0.173831614
2027,Ship,2.064147912
2027,Aeroplane,0.73437658
2028,Motorcycle,2.489890601
2028,Car,4.385569836
2028,Bus,5.163535725
2028,Truck,4.668539246
2028,Train,0.180137607
2028,Ship,2.08667746
2028,Aeroplane,0.743134295
2029,Motorcycle,2.306014794
2029,Car,4.361168613
2029,Bus,5.040368088
2029,Truck,4.736715857
2029,Train,0.186794218
2029,Ship,2.086851521
2029,Aeroplane,0.752143311
2030,Motorcycle,2.122802246
2030,Car,4.33380658
2030,Bus,4.81637739
2030,Truck,4.809982381
2030,Train,0.193640339
2030,Ship,2.09822869
2030,Aeroplane,0.759985339
2031,Motorcycle,1.950746245
2031,Car,4.32540438
2031,Bus,4.511305072
2031,Truck,4.87817483
2031,Train,0.200756027
2031,Ship,2.104261676
2031,Aeroplane,0.768781073
2032,Motorcycle,1.791296048
2032,Car,4.332206017
2032,Bus,4.200032978
2032,Truck,4.953899044
2032,Train,0.208061411
2032,Ship,2.112962143
2032,Aeroplane,0.777945349
2033,Motorcycle,1.646035878
2033,Car,4.3092244
2033,Bus,3.899273987
2033,Truck,5.029875642
2033,Train,0.215653277
2033,Ship,2.120600853
2033,Aeroplane,0.787412123
2034,Motorcycle,1.517063387
2034,Car,4.319717038
2034,Bus,3.62785523
2034,Truck,5.104050633
2034,Train,0.22353196
2034,Ship,2.129007189
2034,Aeroplane,0.79671612
2035,Motorcycle,1.399503054
2035,Car,4.323663087
2035,Bus,3.486787948
2035,Truck,5.171409057
2035,Train,0.231692409
2035,Ship,2.137252155
2035,Aeroplane,0.796692899
2036,Motorcycle,1.293813935
2036,Car,4.329108695
2036,Bus,3.461575944
2036,Truck,5.230245561
2036,Train,0.240102905
2036,Ship,2.145659858
2036,Aeroplane,0.792867982
2037,Motorcycle,1.198613615
2037,Car,4.338073563
2037,Bus,3.45112917
2037,Truck,5.295827204
2037,Train,0.248770996
2037,Ship,2.153949013
2037,Aeroplane,0.785517822
2038,Motorcycle,1.113089788
2038,Car,4.312424198
2038,Bus,3.451726821
2038,Truck,5.36435543
2038,Train,0.257730677
2038,Ship,2.162246433
2038,Aeroplane,0.776237559
2039,Motorcycle,1.038066287
2039,Car,4.307016635
2039,Bus,3.460815608
2039,Truck,5.43436035
2039,Train,0.266985527
2039,Ship,2.170359637
2039,Aeroplane,0.766481716
2040,Motorcycle,0.971588145
2040,Car,4.297816723
2040,Bus,3.465123406
2040,Truck,5.501413993
2040,Train,0.276558157
2040,Ship,2.17828196
2040,Aeroplane,0.756941535
2041,Motorcycle,0.915312172
2041,Car,4.293132413
2041,Bus,3.47588541
2041,Truck,5.557833594
2041,Train,0.286432673
2041,Ship,2.185851795
2041,Aeroplane,0.747094384
2042,Motorcycle,0.868822443
2042,Car,4.294907737
2042,Bus,3.50334821
2042,Truck,5.622683962
2042,Train,0.296621129
2042,Ship,2.193104166
2042,Aeroplane,0.735790239
2043,Motorcycle,0.831581675
2043,Car,4.271901466
2043,Bus,3.550155534
2043,Truck,5.692757759
2043,Train,0.307145445
2043,Ship,2.200042916
2043,Aeroplane,0.72214978
2044,Motorcycle,0.803232853
2044,Car,4.26860933
2044,Bus,3.618494624
2044,Truck,5.767962629
2044,Train,0.317993747
2044,Ship,2.206630324
2044,Aeroplane,0.705910109
2045,Motorcycle,0.78119529
2045,Car,4.267399273
2045,Bus,3.68702643
2045,Truck,5.83929386
2045,Train,0.329162244
2045,Ship,2.212894457
2045,Aeroplane,0.685672549
2046,Motorcycle,0.764892651
2046,Car,4.274405268
2046,Bus,3.764345604
2046,Truck,5.901365068
2046,Train,0.34059584
2046,Ship,2.218739722
2046,Aeroplane,0.66450446
2047,Motorcycle,0.752703898
2047,Car,4.288787527
2047,Bus,3.853322362
2047,Truck,5.969202484
2047,Train,0.352288656
2047,Ship,2.224290564
2047,Aeroplane,0.643959373
2048,Motorcycle,0.743562209
2048,Car,4.281090811
2048,Bus,3.948370805
2048,Truck,6.038798203
2048,Train,0.364232683
2048,Ship,2.22953914
2048,Aeroplane,0.626322182
2049,Motorcycle,0.737065499
2049,Car,4.288643367
2049,Bus,4.043976007
2049,Truck,6.10917477
2049,Train,0.376390963
2049,Ship,2.234483448
2049,Aeroplane,0.613720429
2050,Motorcycle,0.731497732
2050,Car,4.298387806
2050,Bus,4.134747015
2050,Truck,6.181552938
2050,Train,0.388804668
2050,Ship,2.239151659
2050,Aeroplane,0.606784908
