Year,Scenario,MSMode,Value
2015,"Omoka (""Growth"")",walk,312.819231
2015,"Omoka (""Growth"")",bicycle,28.43811143
2015,"Omoka (""Growth"")",car/van driver,91.52735123
2015,"Omoka (""Growth"")",car/van passenger,42.24339272
2015,"Omoka (""Growth"")",motorcycle + e-bike,107.2401185
2015,"Omoka (""Growth"")",local bus,411.8691674
2015,"Omoka (""Growth"")",coach,86.38076366
2015,"Omoka (""Growth"")",rail (surface),1.606753304
2015,"Omoka (""Growth"")",other private (+car clubs),2.816226227
2015,"Omoka (""Growth"")",taxi + Uber,4.224339208
2015,"Omoka (""Growth"")",air,6.997197291
2015,"Omoka (""Growth"")",other public + underground,0.014219056
2030,"Omoka (""Growth"")",walk,223.8524284
2030,"Omoka (""Growth"")",bicycle,41.10528649
2030,"Omoka (""Growth"")",car/van driver,89.00620198
2030,"Omoka (""Growth"")",car/van passenger,41.41731238
2030,"Omoka (""Growth"")",motorcycle + e-bike,127.7675719
2030,"Omoka (""Growth"")",local bus,452.5225267
2030,"Omoka (""Growth"")",coach,88.28511761
2030,"Omoka (""Growth"")",rail (surface),13.34363275
2030,"Omoka (""Growth"")",other private (+car clubs),3.389736621
2030,"Omoka (""Growth"")",taxi + Uber,9.153059979
2030,"Omoka (""Growth"")",air,6.319780013
2030,"Omoka (""Growth"")",other public + underground,0.014219056
2040,"Omoka (""Growth"")",walk,180.0000525
2040,"Omoka (""Growth"")",bicycle,43.55702771
2040,"Omoka (""Growth"")",car/van driver,88.15522408
2040,"Omoka (""Growth"")",car/van passenger,42.66707921
2040,"Omoka (""Growth"")",motorcycle + e-bike,130.6771349
2040,"Omoka (""Growth"")",local bus,443.7235827
2040,"Omoka (""Growth"")",coach,90.35298072
2040,"Omoka (""Growth"")",rail (surface),21.52515321
2040,"Omoka (""Growth"")",other private (+car clubs),3.542180849
2040,"Omoka (""Growth"")",taxi + Uber,9.60557713
2040,"Omoka (""Growth"")",air,5.981071135
2040,"Omoka (""Growth"")",other public + underground,36.38979399
2050,"Omoka (""Growth"")",walk,136.1476958
2050,"Omoka (""Growth"")",bicycle,46.0087669
2050,"Omoka (""Growth"")",car/van driver,87.30424571
2050,"Omoka (""Growth"")",car/van passenger,43.91684675
2050,"Omoka (""Growth"")",motorcycle + e-bike,133.586698
2050,"Omoka (""Growth"")",local bus,434.9246597
2050,"Omoka (""Growth"")",coach,92.42084466
2050,"Omoka (""Growth"")",rail (surface),29.7066751
2050,"Omoka (""Growth"")",other private (+car clubs),3.694625212
2050,"Omoka (""Growth"")",taxi + Uber,10.05809344
2050,"Omoka (""Growth"")",air,5.642362735
2050,"Omoka (""Growth"")",other public + underground,72.76536905
2015,Electric Dreams,walk,312.819231
2015,Electric Dreams,bicycle,28.43811143
2015,Electric Dreams,car/van driver,91.52735123
2015,Electric Dreams,car/van passenger,42.24339272
2015,Electric Dreams,motorcycle + e-bike,107.2401185
2015,Electric Dreams,local bus,411.8691674
