Year,Scenario,Tech.VehType,Tech.Fuel,Value
2015,"Omoka (""Growth"")",Motorcycle,Gasoline,17226471841.33529
2015,"Omoka (""Growth"")",Motorcycle,Electricity,852832108.7360382
2015,"Omoka (""Growth"")",Motorcycle,Gaseous Hydrogen,0.714968473314314
2015,"Omoka (""Growth"")",Car,Gasoline,12054924812.80387
2015,"Omoka (""Growth"")",Car,Diesel,9809947374.774733
2015,"Omoka (""Growth"")",Car,Electricity,15407.251202387282
2015,"Omoka (""Growth"")",Bus,Diesel,5077852905.71538
2015,"Omoka (""Growth"")",Bus,Gasoline,96700179.04136325
2015,"Omoka (""Growth"")",Bus,Electricity,22394260.886358116
2015,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",3039846.4074257677
2015,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,65358.37820997872
2015,"Omoka (""Growth"")",Bus,Compressed Natural Gas,40210841.45642819
2015,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,39719894.528389
2015,"Omoka (""Growth"")",Truck,Diesel,10798753697.105774
2015,"Omoka (""Growth"")",Truck,Electricity,353178.71324447304
2015,"Omoka (""Growth"")",Truck,Gasoline,2489566559.052037
2015,"Omoka (""Growth"")",Truck,Compressed Natural Gas,16685655.922628937
2015,"Omoka (""Growth"")",Train,Electricity,9231112.200723156
2015,"Omoka (""Growth"")",Train,Diesel,12616012.87865233
2015,"Omoka (""Growth"")",Ship,Diesel,1640458.474867046
2015,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),44524739.2008241
2030,"Omoka (""Growth"")",Motorcycle,Gasoline,6837042454.630131
2030,"Omoka (""Growth"")",Motorcycle,Electricity,23767052104.69665
2030,"Omoka (""Growth"")",Motorcycle,Gaseous Hydrogen,9.060833194851622
2030,"Omoka (""Growth"")",Car,Gasoline,15884183103.470636
2030,"Omoka (""Growth"")",Car,Diesel,15844117172.78019
2030,"Omoka (""Growth"")",Car,Electricity,750488917.9609302
2030,"Omoka (""Growth"")",Bus,Diesel,2272584442.1128163
2030,"Omoka (""Growth"")",Bus,Gasoline,102097174.72571358
2030,"Omoka (""Growth"")",Bus,Electricity,4576327608.367127
2030,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",1523106.4594115615
2030,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,839545.1439460187
2030,"Omoka (""Growth"")",Bus,Compressed Natural Gas,3896275.855368008
2030,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,3726991.326793415
2030,"Omoka (""Growth"")",Bus,Gaseous Hydrogen,1.291866683073018
2030,"Omoka (""Growth"")",Truck,Diesel,27422640640.869
2030,"Omoka (""Growth"")",Truck,Electricity,509066548.5705128
2030,"Omoka (""Growth"")",Truck,Gasoline,5110711642.698543
2030,"Omoka (""Growth"")",Truck,Compressed Natural Gas,63618.9861324965
2030,"Omoka (""Growth"")",Train,Electricity,80665734.85666594
2030,"Omoka (""Growth"")",Train,Diesel,8403484.686823498
2030,"Omoka (""Growth"")",Ship,Diesel,1811975.4458894022
2030,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),60030249.332839936
2030,"Omoka (""Growth"")",Aeroplane,Electricity,863211.2867417167
2030,"Omoka (""Growth"")",Aeroplane,Liquefied Hydrogen,1247.25558725558
2040,"Omoka (""Growth"")",Motorcycle,Gasoline,513939155.0610519
2040,"Omoka (""Growth"")",Motorcycle,Electricity,37672031163.41264
2040,"Omoka (""Growth"")",Motorcycle,Gaseous Hydrogen,1.869253779540614
2040,"Omoka (""Growth"")",Car,Gasoline,11681808384.293762
