Year,Scenario,Tech.VehType,Tech.Fuel,Value
2015,"Omoka (""Growth"")",Motorcycle,Gasoline,989957.887939454
2015,"Omoka (""Growth"")",Motorcycle,Electricity,49009.9118652344
2015,"Omoka (""Growth"")",Car,Gasoline,334111.6018612763
2015,"Omoka (""Growth"")",Car,Diesel,211850.01647170563
2015,"Omoka (""Growth"")",Car,Electricity,0.4267863074510391
2015,"Omoka (""Growth"")",Bus,Diesel,106421.09931701898
2015,"Omoka (""Growth"")",Bus,Gasoline,13832.169810092055
2015,"Omoka (""Growth"")",Bus,Electricity,434.9040143489839
2015,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,9.300988956485522
2015,"Omoka (""Growth"")",Bus,Compressed Natural Gas,873.5786763429646
2015,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,864.051228165627
2015,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",60.99991831928488
2015,"Omoka (""Growth"")",Truck,Diesel,51131.830168931105
2015,"Omoka (""Growth"")",Truck,Electricity,1.2868601307745853
2015,"Omoka (""Growth"")",Truck,Gasoline,10971.41521915307
2015,"Omoka (""Growth"")",Truck,Compressed Natural Gas,76.86142065678051
2015,"Omoka (""Growth"")",Train,Electricity,1046.3117588985479
2015,"Omoka (""Growth"")",Train,Diesel,329.37642331748066
2015,"Omoka (""Growth"")",Ship,Diesel,50.10000109885426
2015,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),129.20316854215648
2030,"Omoka (""Growth"")",Motorcycle,Gasoline,438873.8349810243
2030,"Omoka (""Growth"")",Motorcycle,Electricity,1525621.2145519853
2030,"Omoka (""Growth"")",Motorcycle,Gaseous Hydrogen,0.000581620302824604
2030,"Omoka (""Growth"")",Car,Gasoline,428943.51945135306
2030,"Omoka (""Growth"")",Car,Diesel,399742.3372838766
2030,"Omoka (""Growth"")",Car,Electricity,16672.5168096029
2030,"Omoka (""Growth"")",Bus,Diesel,62041.0592259068
2030,"Omoka (""Growth"")",Bus,Gasoline,3849.9343484763126
2030,"Omoka (""Growth"")",Bus,Electricity,124495.42209048383
2030,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,31.656301975710917
2030,"Omoka (""Growth"")",Bus,Compressed Natural Gas,111.1281569872246
2030,"Omoka (""Growth"")",Bus,Liquified Petroleum Gas,106.596391287838
2030,"Omoka (""Growth"")",Bus,"Biodiesel (FT, synthetic)",41.93641896394545
2030,"Omoka (""Growth"")",Truck,Diesel,102300.53740608504
2030,"Omoka (""Growth"")",Truck,Electricity,1901.6800306123628
2030,"Omoka (""Growth"")",Truck,Gasoline,21422.364073862052
2030,"Omoka (""Growth"")",Truck,Compressed Natural Gas,0.0787475729425348
2030,"Omoka (""Growth"")",Train,Electricity,4496.143991553332
2030,"Omoka (""Growth"")",Train,Diesel,208.61136425106812
2030,"Omoka (""Growth"")",Ship,Diesel,50.10000091096027
2030,"Omoka (""Growth"")",Aeroplane,Aviation fuel (Jet A-1),184.87256374467975
2030,"Omoka (""Growth"")",Aeroplane,Electricity,3.8085762348491703
2030,"Omoka (""Growth"")",Aeroplane,Liquefied Hydrogen,0.0008156921494446581
2040,"Omoka (""Growth"")",Motorcycle,Gasoline,32215.674273810975
2040,"Omoka (""Growth"")",Motorcycle,Electricity,2361427.230335114
2040,"Omoka (""Growth"")",Car,Gasoline,372293.0839890468
2040,"Omoka (""Growth"")",Car,Diesel,308526.91189833643
2040,"Omoka (""Growth"")",Car,Electricity,457742.0961811
2040,"Omoka (""Growth"")",Bus,Gasoline,473.6478401117781
2040,"Omoka (""Growth"")",Bus,Diesel,4585.196702242644
2040,"Omoka (""Growth"")",Bus,Electricity,215463.9849764891
2040,"Omoka (""Growth"")",Bus,Bioethanol(85)-petrol(15) blend,5.30982120771193
