ID Subsegment,Vehicle category,Sub-category (EMAP EEA),Segment,Fuel type in this tool,Technology (EMAP EEA),Technology in this tool,FC (g/km),"FC(l/100km), kg for CNG",Source,ID Vehicle cat,ID Fuel,ID Size,ID Technology,,note
PG10,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,PRE-ECE to open loop ,PRE-ECE ,57.69,7.8,"Infras,2018",P,G,1,0,,
PG11,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,Euro 1 and later ,Euro 1 ,57.69,7.8,"Infras,2018",P,G,1,1,,
PG12,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,Euro 1 and later ,Euro 2,57.69,7.8,"Infras,2018",P,G,1,2,,
PG13,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,Euro 1 and later ,Euro 3,57.69,7.8,"Infras,2018",P,G,1,3,,
PG14,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,Euro 1 and later ,Euro 4,57.69,7.8,"Infras,2018",P,G,1,4,,
PG15,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,Euro 1 and later ,Euro 5,57.69,7.8,"Infras,2018",P,G,1,5,,
PG16,Passenger cars ,Gasoline 0.8-1.4 l ,"PC petrol <1,4L",Motor Gasoline,Euro 1 and later ,Euro 6,57.69,7.8,"Infras,2018",P,G,1,6,,
PG20,Passenger cars ,Gasoline 1.4–2.0 l ,"PC petrol 1,4-<2L",Motor Gasoline,PRE-ECE to open loop ,PRE-ECE ,68.68,9.3,"Infras,2018",P,G,2,0,,
PG21,Passenger cars ,Gasoline 1.4–2.0 l ,"PC petrol 1,4-<2L",Motor Gasoline,Euro 1 and later ,Euro 1 ,68.68,9.3,"Infras,2018",P,G,2,1,,
PG22,Passenger cars ,Gasoline 1.4–2.0 l ,"PC petrol 1,4-<2L",Motor Gasoline,Euro 1 and later ,Euro 2,68.68,9.3,"Infras,2018",P,G,2,2,,
