CountryID,TransTypeID,VehTypeID,MassCatID,NumNewVeh
9,1,3,1,33606.086682048524
9,1,3,2,8788.736309570626
9,1,3,3,1293.7379592615587
9,1,4,11,1189.3850890010258
9,1,4,13,238.85231358880205
9,1,4,12,1189.3850889724804
9,1,2,4,53004.825037804134
9,1,6,31,3.1506000000000003
9,1,6,32,17.3047
9,1,6,33,1.82015
9,1,6,34,0.0
9,1,8,41,0.1577107
9,1,8,42,1.439874
9,1,8,43,1.4661840000000002
9,1,8,44,0.4656849
9,1,8,45,0.0
9,2,3,11,3424.639096291708
9,2,3,21,3142.9314714776574
9,2,5,11,2547.9977130012667
9,2,5,21,5095.995426750207
9,2,5,22,8584.187386601856
9,2,5,23,3189.514759593046
9,2,6,32,2.478
9,2,7,51,1.3701660000000002
9,2,7,52,0.648814
9,2,8,42,0.07385445
9,2,8,43,0.2253567
9,2,8,44,0.07512245
