CountryID,TransTypeID,VehTypeID,MassCatID,TOT_Stock
9,1,3,1,409536.99999406596
9,1,3,2,107103.000001578
9,1,3,3,15765.999999560998
9,1,4,11,49999.9999982
9,1,4,13,10041.000000295
9,1,4,12,49999.999997
9,1,2,4,539769.0
9,1,6,31,89.91152401208798
9,1,6,32,493.794594114
9,1,6,33,51.888988808789996
9,1,6,34,0.999946
9,1,8,41,4.3771633907053085
9,1,8,42,38.85039537153556
9,1,8,43,40.003572771535566
9,1,8,44,12.327674566906031
9,1,8,45,0.41157991900302593
9,2,3,11,41733.99999908
9,2,3,21,38301.000000201
9,2,5,11,12506.99999893
9,2,5,21,25014.00000153
9,2,5,22,42136.000000009
9,2,5,23,15655.92499996
9,2,6,32,70.71477686398
9,2,7,51,34.000629294105764
9,2,7,52,16.09937214058872
9,2,8,42,3.0610719675748825
9,2,8,43,8.810443656626568
9,2,8,44,2.936946553874555
