Vehicle category,Segment,note,Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Passenger cars,"PC petrol <1,4L",,%,0,0,0,0,0,1,2,7,8,11,10,9,8,7,7,5,5,6,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0
Passenger cars,"PC petrol 1,4-<2L",,%,0,0,0,0,1,1,1,9,12,16,15,11,11,7,5,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passenger cars,PC petrol >=2L,,%,1,3,4,2,1,2,6,19,10,7,10,8,10,4,6,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Passenger cars,"PC diesel <1,4L",,%,0,0,0,0,0,0,0,0,4,0,1,4,3,2,10,2,5,10,12,7,14,4,3,0,3,10,3,3,2,0,1,0,1
Passenger cars,"PC diesel 1,4-<2L",,%,0,1,1,1,2,1,3,5,3,9,12,6,7,3,1,4,3,8,3,8,2,2,1,1,1,1,3,0,0,4,1,0,1
Passenger cars,PC diesel >=2L,,%,0,1,1,1,2,1,3,5,3,9,12,6,7,3,1,4,3,8,3,8,2,2,1,1,1,1,3,0,0,4,1,0,1
Buses,"Urban buses, standard 3.5-15 t",,%,0,1,0,0,0,0,0,2,2,3,2,2,2,2,5,12,13,16,9,7,8,4,2,2,1,2,2,0,0,0,0,0,0
Buses,"Urban buses, standard 15–18 t",,%,0,1,0,0,0,0,0,2,2,3,2,2,2,2,5,12,13,16,9,7,8,4,2,2,1,2,2,0,0,0,0,0,0
Light commercial vehicles,LCV diesel M+N1-I,,%,0,0,0,0,5,20,5,5,10,15,5,5,0,0,0,5,0,0,0,5,0,10,0,0,0,5,0,0,0,5,0,0,0
Light commercial vehicles,LCV diesel N1-II,,%,3,2,6,10,6,7,8,10,6,13,3,1,5,4,3,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
Light commercial vehicles,LCV diesel N1-III,,%,0,2,9,9,10,6,10,7,7,10,3,6,4,4,3,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Light commercial vehicles,LCV petrol M+N1-I,,%,0,0,2,2,2,0,0,4,6,6,4,0,6,2,2,4,0,0,4,0,0,6,2,0,2,4,4,13,6,2,6,6,2
Light commercial vehicles,LCV petrol N1-II,,%,0,0,0,5,0,0,0,0,5,2,5,7,9,2,9,5,7,0,2,0,2,14,2,2,5,0,2,7,0,0,0,7,0
Light commercial vehicles,LCV petrol N1-III,,%,0,0,0,5,0,0,0,0,5,2,5,7,9,2,9,5,7,0,2,0,2,14,2,2,5,0,2,7,0,0,0,7,0
Motorcycles,MC 4S <=150cc,,%,18,28,11,14,4,6,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motorcycles,MC 4S 151-250cc,,%,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motorcycles,MC 4S 251-750cc,,%,55,21,8,6,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motorcycles,MC 4S >750cc,,%,16,31,12,14,5,5,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buses,Coach Std <=18t,,%,14,18,15,11,7,4,5,1,4,4,4,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavy goods vehicles,"RigidTruck <7,5t",,%,2,7,16,11,8,4,2,6,5,8,6,5,2,2,2,3,2,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0
Heavy goods vehicles,RigidTruck >12-14t,,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heavy goods vehicles,RigidTruck >14-20t,,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heavy goods vehicles,"RigidTruck 7,5-12t",,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heavy goods vehicles,RigidTruck >20-26t,,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heavy goods vehicles,TT/AT >20-28t,,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heavy goods vehicles,TT/AT >28-34t,,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heavy goods vehicles,TT/AT >34-40t,,%,0,3,11,12,7,8,10,6,2,12,7,5,4,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Light commercial vehicles,LCV petrol N1-I,,%,0,0,0,0,5,20,5,5,10,15,5,5,0,0,0,5,0,0,0,5,0,10,0,0,0,5,0,0,0,5,0,0,0
Light commercial vehicles,LCV diesel M+N1-II,,%,3,2,6,10,6,7,8,10,6,13,3,1,5,4,3,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
Light commercial vehicles,LCV diesel M+N1-III,,%,0,2,9,9,10,6,10,7,7,10,3,6,4,4,3,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
