,TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife,SecondHandImportFlag,note
0,70.0,1.0,3.0,1.0,1.0,1.0,1.0,,,0,7.8,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
1,9070.0,1.0,3.0,1.0,1.0,1.0,1.0,,,0,7.8,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
2,90.0,1.0,3.0,1.0,1.0,3.0,1.0,1992.0,,0,7.8,,0.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
3,9090.0,1.0,3.0,1.0,1.0,3.0,1.0,2000.0,,0,7.8,,0.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
4,100.0,1.0,3.0,1.0,1.0,4.0,1.0,1997.0,,0,7.8,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
5,9100.0,1.0,3.0,1.0,1.0,4.0,1.0,2005.0,,0,7.8,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
6,110.0,1.0,3.0,1.0,1.0,5.0,1.0,2001.0,,0,7.8,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
7,9110.0,1.0,3.0,1.0,1.0,5.0,1.0,2009.0,,0,7.8,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
8,120.0,1.0,3.0,1.0,1.0,6.0,1.0,2006.0,,0,7.8,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
9,9120.0,1.0,3.0,1.0,1.0,6.0,1.0,2014.0,,0,7.8,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
10,80.0,1.0,3.0,1.0,1.0,14.0,1.0,2011.0,,0,7.8,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
11,9080.0,1.0,3.0,1.0,1.0,14.0,1.0,2019.0,,0,7.8,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
12,81.0,1.0,3.0,1.0,1.0,15.0,1.0,2015.0,,0,7.8,,1.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
13,9081.0,1.0,3.0,1.0,1.0,15.0,1.0,2023.0,,0,7.8,,1.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
14,130.0,1.0,3.0,2.0,1.0,1.0,1.0,,,0,9.3,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
15,9130.0,1.0,3.0,2.0,1.0,1.0,1.0,,,0,9.3,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
16,150.0,1.0,3.0,2.0,1.0,3.0,1.0,1992.0,,0,9.3,,0.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
17,9150.0,1.0,3.0,2.0,1.0,3.0,1.0,2000.0,,0,9.3,,0.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
18,160.0,1.0,3.0,2.0,1.0,4.0,1.0,1997.0,,0,9.3,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
19,9160.0,1.0,3.0,2.0,1.0,4.0,1.0,2005.0,,0,9.3,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
20,170.0,1.0,3.0,2.0,1.0,5.0,1.0,2001.0,,0,9.3,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
21,9170.0,1.0,3.0,2.0,1.0,5.0,1.0,2009.0,,0,9.3,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
22,181.0,1.0,3.0,2.0,1.0,6.0,1.0,2006.0,,0,9.3,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
23,9181.0,1.0,3.0,2.0,1.0,6.0,1.0,2014.0,,0,9.3,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
24,140.0,1.0,3.0,2.0,1.0,14.0,1.0,2011.0,,0,9.3,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
25,9140.0,1.0,3.0,2.0,1.0,14.0,1.0,2019.0,,0,9.3,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
26,171.0,1.0,3.0,2.0,1.0,15.0,1.0,2015.0,,0,9.3,,1.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
27,9171.0,1.0,3.0,2.0,1.0,15.0,1.0,2023.0,,0,9.3,,1.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
28,190.0,1.0,3.0,3.0,1.0,1.0,1.0,,,0,11.9,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
29,9190.0,1.0,3.0,3.0,1.0,1.0,1.0,,,0,11.9,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
30,210.0,1.0,3.0,3.0,1.0,3.0,1.0,1992.0,,0,11.9,,0.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
31,9210.0,1.0,3.0,3.0,1.0,3.0,1.0,2000.0,,0,11.9,,0.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
32,220.0,1.0,3.0,3.0,1.0,4.0,1.0,1997.0,,0,11.9,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
33,9220.0,1.0,3.0,3.0,1.0,4.0,1.0,2005.0,,0,11.9,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
34,230.0,1.0,3.0,3.0,1.0,5.0,1.0,2001.0,,0,11.9,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
35,9230.0,1.0,3.0,3.0,1.0,5.0,1.0,2009.0,,0,11.9,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
36,240.0,1.0,3.0,3.0,1.0,6.0,1.0,2006.0,,0,11.9,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
37,9240.0,1.0,3.0,3.0,1.0,6.0,1.0,2014.0,,0,11.9,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
38,200.0,1.0,3.0,3.0,1.0,14.0,1.0,2011.0,,0,11.9,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
39,9200.0,1.0,3.0,3.0,1.0,14.0,1.0,2019.0,,0,11.9,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
40,245.0,1.0,3.0,3.0,1.0,15.0,1.0,2015.0,,0,11.9,,1.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
41,9245.0,1.0,3.0,3.0,1.0,15.0,1.0,2023.0,,0,11.9,,1.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
42,265.0,1.0,3.0,1.0,2.0,1.0,1.0,,,0,5.3,,1.0,,1,,14.0,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
43,9265.0,1.0,3.0,1.0,2.0,1.0,1.0,,,0,5.3,,1.0,,1,,14.0,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
44,266.0,1.0,3.0,1.0,2.0,3.0,1.0,1992.0,,0,5.3,,1.0,,1,,14.0,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
45,9266.0,1.0,3.0,1.0,2.0,3.0,1.0,2000.0,,0,5.3,,1.0,,1,,14.0,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
46,267.0,1.0,3.0,1.0,2.0,4.0,1.0,1997.0,,0,5.3,,1.0,,1,,14.0,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
47,9267.0,1.0,3.0,1.0,2.0,4.0,1.0,2005.0,,0,5.3,,1.0,,1,,14.0,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
48,295.0,1.0,3.0,1.0,2.0,5.0,1.0,2001.0,,0,5.3,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
49,9295.0,1.0,3.0,1.0,2.0,5.0,1.0,2009.0,,0,5.3,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
50,305.0,1.0,3.0,1.0,2.0,6.0,1.0,2006.0,,0,5.3,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
51,9305.0,1.0,3.0,1.0,2.0,6.0,1.0,2014.0,,0,5.3,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
52,268.0,1.0,3.0,1.0,2.0,14.0,1.0,2011.0,,0,5.3,,1.0,,1,,14.0,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
53,9268.0,1.0,3.0,1.0,2.0,14.0,1.0,2019.0,,0,5.3,,1.0,,1,,14.0,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
54,269.0,1.0,3.0,1.0,2.0,15.0,1.0,2015.0,,0,5.3,,1.0,,1,,14.0,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
55,9269.0,1.0,3.0,1.0,2.0,15.0,1.0,2023.0,,0,5.3,,1.0,,1,,14.0,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
56,250.0,1.0,3.0,2.0,2.0,1.0,1.0,,,0,6.8,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
57,9250.0,1.0,3.0,2.0,2.0,1.0,1.0,,,0,6.8,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
58,270.0,1.0,3.0,2.0,2.0,3.0,1.0,1992.0,,0,6.8,,0.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
59,9270.0,1.0,3.0,2.0,2.0,3.0,1.0,2000.0,,0,6.8,,0.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
60,280.0,1.0,3.0,2.0,2.0,4.0,1.0,1997.0,,0,6.8,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
61,9280.0,1.0,3.0,2.0,2.0,4.0,1.0,2005.0,,0,6.8,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
62,290.0,1.0,3.0,2.0,2.0,5.0,1.0,2001.0,,0,6.8,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
