,Vehicle category,Segment,CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
5,Passenger cars,"PC petrol <1,4L",9,70.0,5,1.0,3.0,1.0,1.0,1.0,84.69685714285714
6,Passenger cars,"PC petrol <1,4L",9,70.0,6,1.0,3.0,1.0,1.0,1.0,169.39371428571428
7,Passenger cars,"PC petrol <1,4L",9,70.0,7,1.0,3.0,1.0,1.0,1.0,592.8779999999999
8,Passenger cars,"PC petrol <1,4L",9,70.0,8,1.0,3.0,1.0,1.0,1.0,677.5748571428571
9,Passenger cars,"PC petrol <1,4L",9,70.0,9,1.0,3.0,1.0,1.0,1.0,931.6654285714285
10,Passenger cars,"PC petrol <1,4L",9,70.0,10,1.0,3.0,1.0,1.0,1.0,846.9685714285713
11,Passenger cars,"PC petrol <1,4L",9,70.0,11,1.0,3.0,1.0,1.0,1.0,762.2717142857142
12,Passenger cars,"PC petrol <1,4L",9,70.0,12,1.0,3.0,1.0,1.0,1.0,677.5748571428571
13,Passenger cars,"PC petrol <1,4L",9,70.0,13,1.0,3.0,1.0,1.0,1.0,592.8779999999999
14,Passenger cars,"PC petrol <1,4L",9,70.0,14,1.0,3.0,1.0,1.0,1.0,592.8779999999999
15,Passenger cars,"PC petrol <1,4L",9,70.0,15,1.0,3.0,1.0,1.0,1.0,423.48428571428565
16,Passenger cars,"PC petrol <1,4L",9,70.0,16,1.0,3.0,1.0,1.0,1.0,423.48428571428565
17,Passenger cars,"PC petrol <1,4L",9,70.0,17,1.0,3.0,1.0,1.0,1.0,508.18114285714285
18,Passenger cars,"PC petrol <1,4L",9,70.0,18,1.0,3.0,1.0,1.0,1.0,254.09057142857142
19,Passenger cars,"PC petrol <1,4L",9,70.0,19,1.0,3.0,1.0,1.0,1.0,254.09057142857142
20,Passenger cars,"PC petrol <1,4L",9,70.0,20,1.0,3.0,1.0,1.0,1.0,169.39371428571428
21,Passenger cars,"PC petrol <1,4L",9,70.0,21,1.0,3.0,1.0,1.0,1.0,169.39371428571428
22,Passenger cars,"PC petrol <1,4L",9,70.0,22,1.0,3.0,1.0,1.0,1.0,84.69685714285714
23,Passenger cars,"PC petrol <1,4L",9,70.0,23,1.0,3.0,1.0,1.0,1.0,84.69685714285714
24,Passenger cars,"PC petrol <1,4L",9,70.0,24,1.0,3.0,1.0,1.0,1.0,84.69685714285714
25,Passenger cars,"PC petrol <1,4L",9,70.0,25,1.0,3.0,1.0,1.0,1.0,84.69685714285714
38,Passenger cars,"PC petrol <1,4L",9,9070.0,5,1.0,3.0,1.0,1.0,1.0,479.9488571428571
39,Passenger cars,"PC petrol <1,4L",9,9070.0,6,1.0,3.0,1.0,1.0,1.0,959.8977142857142
40,Passenger cars,"PC petrol <1,4L",9,9070.0,7,1.0,3.0,1.0,1.0,1.0,3359.6419999999994
41,Passenger cars,"PC petrol <1,4L",9,9070.0,8,1.0,3.0,1.0,1.0,1.0,3839.5908571428567
42,Passenger cars,"PC petrol <1,4L",9,9070.0,9,1.0,3.0,1.0,1.0,1.0,5279.437428571428
43,Passenger cars,"PC petrol <1,4L",9,9070.0,10,1.0,3.0,1.0,1.0,1.0,4799.488571428571
44,Passenger cars,"PC petrol <1,4L",9,9070.0,11,1.0,3.0,1.0,1.0,1.0,4319.539714285714
45,Passenger cars,"PC petrol <1,4L",9,9070.0,12,1.0,3.0,1.0,1.0,1.0,3839.5908571428567
