TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife,SecondHandImportFlag,note
70,1,3,1,1,1,1,1980,1991,0,8.362769,,0,10000,1,5,12,0,
9070,1,3,1,1,1,1,1988,1999,0,8.362769,,0,4000,1,5,12,1,
90,1,3,1,1,3,1,1992,1995,0,7.650982,,0,10000,1,5,12,0,
9090,1,3,1,1,3,1,2000,2003,0,7.650982,,0,4000,1,5,12,1,
100,1,3,1,1,4,1,1996,1999,0,8.115561,,1,10000,1,5,12,0,
9100,1,3,1,1,4,1,2004,2007,0,8.115561,,1,4000,1,5,12,1,
110,1,3,1,1,5,1,2000,2004,0,8.145514,,1,10000,1,5,12,0,
9110,1,3,1,1,5,1,2008,2012,0,8.145514,,1,4000,1,5,12,1,
120,1,3,1,1,6,1,2005,2008,0,7.751691,,1,10000,1,5,12,0,
9120,1,3,1,1,6,1,2013,2016,0,7.751691,,1,4000,1,5,12,1,
80,1,3,1,1,14,1,2009,2014,0,7.309161,,1,10000,1,5,12,0,
9080,1,3,1,1,14,1,2017,2022,0,7.309161,,1,4000,1,5,12,1,
81,1,3,1,1,15,1,2015,2019,0,6.709962,,1,10000,1,5,12,0,
9081,1,3,1,1,15,1,2023,2027,0,6.709962,,1,4000,1,5,12,1,
130,1,3,2,1,1,1,1980,1991,0,9.421335,,0,15000,1,5,12,0,
9130,1,3,2,1,1,1,1988,1999,0,9.421335,,0,6000,1,5,12,1,
150,1,3,2,1,3,1,1992,1995,0,8.870804,,0,15000,1,5,12,0,
9150,1,3,2,1,3,1,2000,2003,0,8.870804,,0,6000,1,5,12,1,
160,1,3,2,1,4,1,1996,1999,0,9.452495,,0,15000,1,5,12,0,
9160,1,3,2,1,4,1,2004,2007,0,9.452495,,0,6000,1,5,12,1,
170,1,3,2,1,5,1,2000,2004,0,9.487384,,1,15000,1,5,12,0,
9170,1,3,2,1,5,1,2008,2012,0,9.487384,,1,6000,1,5,12,1,
181,1,3,2,1,6,1,2005,2008,0,8.856972,,1,15000,1,5,12,0,
9181,1,3,2,1,6,1,2013,2016,0,8.856972,,1,6000,1,5,12,1,
140,1,3,2,1,14,1,2009,2014,0,8.351344,,1,15000,1,5,12,0,
9140,1,3,2,1,14,1,2017,2022,0,8.351344,,1,6000,1,5,12,1,
171,1,3,2,1,15,1,2015,2019,0,7.666708,,1,15000,1,5,12,0,
9171,1,3,2,1,15,1,2023,2027,0,7.666708,,1,6000,1,5,12,1,
190,1,3,3,1,1,1,1980,1991,0,10.49903,,0,22000,1,5,12,0,
9190,1,3,3,1,1,1,1988,1999,0,10.49903,,0,8800,1,5,12,1,
210,1,3,3,1,3,1,1992,1995,0,10.98211,,0,22000,1,5,12,0,
9210,1,3,3,1,3,1,2000,2003,0,10.98211,,0,8800,1,5,12,1,
220,1,3,3,1,4,1,1996,1999,0,11.66636,,0,22000,1,5,12,0,
9220,1,3,3,1,4,1,2004,2007,0,11.66636,,0,8800,1,5,12,1,
230,1,3,3,1,5,1,2000,2004,0,11.70942,,1,22000,1,5,12,0,
9230,1,3,3,1,5,1,2008,2012,0,11.70942,,1,8800,1,5,12,1,
240,1,3,3,1,6,1,2005,2008,0,10.93136,,1,22000,1,5,12,0,
9240,1,3,3,1,6,1,2013,2016,0,10.93136,,1,8800,1,5,12,1,
200,1,3,3,1,14,1,2009,2014,0,10.30731,,1,22000,1,5,12,0,
9200,1,3,3,1,14,1,2017,2022,0,10.30731,,1,8800,1,5,12,1,
245,1,3,3,1,15,1,2015,2019,0,9.462327,,1,22000,1,5,12,0,
9245,1,3,3,1,15,1,2023,2027,0,9.462327,,1,8800,1,5,12,1,
250,1,3,2,2,1,1,1980,1991,0,5.594795,,0,18000,1,5,12,0,
9250,1,3,2,2,1,1,1988,1999,0,5.594795,,0,7200,1,5,12,1,
590,1,3,1,12,3,1,1992,1995,0,12.67842,,2,35000,1,5,12,0,
9590,1,3,1,12,3,1,2000,2003,0,12.67842,,2,14000,1,5,12,1,
600,1,3,1,12,4,1,1996,1999,0,12.68803,,2,30000,1,5,12,0,
9600,1,3,1,12,4,1,2004,2007,0,12.68803,,2,12000,1,5,12,1,
295,1,3,1,2,5,1,2000,2004,0,5.583055,,1,12000,1,5,12,0,
9295,1,3,1,2,5,1,2008,2012,0,5.583055,,1,4800,1,5,12,1,
305,1,3,1,2,6,1,2005,2008,0,5.212077,,1,11300,1,5,12,0,
9305,1,3,1,2,6,1,2013,2016,0,5.212077,,1,4520,1,5,12,1,
265,1,3,1,2,14,1,2009,2014,0,4.914529,,1,11000,1,5,12,0,
9265,1,3,1,2,14,1,2017,2022,0,4.914529,,1,4400,1,5,12,1,
266,1,3,1,2,15,1,2015,2019,0,4.511641,,1,10800,1,5,12,0,
9266,1,3,1,2,15,1,2023,2027,0,4.511641,,1,4320,1,5,12,1,
310,1,3,3,2,1,1,1980,1991,0,7.107723,,0,25000,1,5,12,0,
9310,1,3,3,2,1,1,1988,1999,0,7.107723,,0,10000,1,5,12,1,
270,1,3,2,2,3,1,1992,1995,0,5.832781,,0,18000,1,5,12,0,
9270,1,3,2,2,3,1,2000,2003,0,5.832781,,0,7200,1,5,12,1,
280,1,3,2,2,4,1,1996,1999,0,5.867432,,0,18000,1,5,12,0,
9280,1,3,2,2,4,1,2004,2007,0,5.867432,,0,7200,1,5,12,1,
290,1,3,2,2,5,1,2000,2004,0,6.203395,,0,18000,1,5,12,0,
9290,1,3,2,2,5,1,2008,2012,0,6.203395,,0,7200,1,5,12,1,
300,1,3,2,2,6,1,2005,2008,0,5.791196,,1,16950,1,5,12,0,
9300,1,3,2,2,6,1,2013,2016,0,5.791196,,1,6780,1,5,12,1,
260,1,3,2,2,14,1,2009,2014,0,5.460588,,1,16500,1,5,12,0,
9260,1,3,2,2,14,1,2017,2022,0,5.460588,,1,6600,1,5,12,1,
251,1,3,2,2,15,1,2015,2019,0,5.012934,,1,16200,1,5,12,0,
9251,1,3,2,2,15,1,2023,2027,0,5.012934,,1,6480,1,5,12,1,
330,1,3,3,2,3,1,1992,1995,0,7.406952,,0,25000,1,5,12,0,
9330,1,3,3,2,3,1,2000,2003,0,7.406952,,0,10000,1,5,12,1,
700,1,4,11,2,3,1,1992,1996,0,34.50784,,0,62752,1,10,15,0,
9700,1,4,11,2,3,1,2000,2004,0,34.50784,1,0,25100.80078,1,10,15,1,
340,1,3,3,2,4,1,1996,1999,0,7.326932,,0,25000,1,5,12,0,
9340,1,3,3,2,4,1,2004,2007,0,7.326932,,0,10000,1,5,12,1,
350,1,3,3,2,5,1,2000,2004,0,7.968915,,0,25000,1,5,12,0,
9350,1,3,3,2,5,1,2008,2012,0,7.968915,,0,10000,1,5,12,1,
360,1,3,3,2,6,1,2005,2008,0,7.439403,,1,24860,1,5,12,0,
9360,1,3,3,2,6,1,2013,2016,0,7.439403,,1,9944,1,5,12,1,
363,1,3,3,2,14,1,2009,2014,0,7.014701,,1,24200,1,5,12,0,
9363,1,3,3,2,14,1,2017,2022,0,7.014701,,1,9680,1,5,12,1,
366,1,3,3,2,15,1,2015,2019,0,6.439642,,1,23760,1,5,12,0,
9366,1,3,3,2,15,1,2023,2027,0,6.439642,,1,9504,1,5,12,1,
550,1,3,1,5,6,1,2005,2008,0,9.54711,,1,13000,1,5,12,0,
9550,1,3,1,5,6,1,2013,2016,0,9.54711,,1,5200,1,5,12,1,
551,1,3,1,5,14,1,2009,2014,0,8.962778,,1,13000,1,5,12,0,
9551,1,3,1,5,14,1,2017,2022,0,8.962778,,1,5200,1,5,12,1,
430,1,3,2,5,4,1,1995,1999,0,10.56572,,2,22000,1,5,12,0,
9430,1,3,2,5,4,1,2003,2007,0,10.56572,,2,8800,1,5,12,1,
610,1,3,1,12,5,1,2000,2004,0,12.71015,,2,27500,1,5,12,0,
9610,1,3,1,12,5,1,2008,2012,0,12.71015,,2,11000,1,5,12,1,
275,1,3,1,12,6,1,2005,2008,0,11.79426,,2,25000,1,5,12,0,
9275,1,3,1,12,6,1,2013,2016,0,11.79426,,2,10000,1,5,12,1,
276,1,3,1,12,14,1,2009,2014,0,11.10237,,2,23000,1,5,12,0,
9276,1,3,1,12,14,1,2017,2022,0,11.10237,,2,9200,1,5,12,1,
552,1,3,1,5,15,1,2015,2019,0,8.185778,,1,12500,1,5,12,0,
9552,1,3,1,5,15,1,2023,2027,0,8.185778,,1,5000,1,5,12,1,
520,1,3,1,10,6,1,2005,2008,0,29.03735,,1,15000,1,5,12,0,
9520,1,3,1,10,6,1,2013,2016,0,29.03735,,1,6000,1,5,12,1,
521,1,3,1,10,14,1,2009,2014,0,27.26011,,1,14000,1,5,12,0,
9521,1,3,1,10,14,1,2017,2022,0,27.26011,,1,5600,1,5,12,1,
522,1,3,1,10,15,1,2015,2019,0,24.89688,,1,13500,1,5,12,0,
9522,1,3,1,10,15,1,2023,2027,0,24.89688,,1,5400,1,5,12,1,
302,1,3,2,1,6,1,2005,2008,1,5.361394,,2,25000,1,5,12,0,
9302,1,3,2,1,6,1,2013,2016,1,5.361394,,2,10000,1,5,12,1,
460,1,3,2,2,6,1,2005,2008,1,3.504153,,2,28250,1,5,12,0,
9460,1,3,2,2,6,1,2013,2016,1,3.504153,,2,11300,1,5,12,1,
362,1,3,3,1,6,1,2005,2008,1,6.611384,,2,35000,1,5,12,0,
9362,1,3,3,1,6,1,2013,2016,1,6.611384,,2,14000,1,5,12,1,
1410,1,5,21,1,1,2,1980,1995,0,16.33091,,0,21000,1,2.5,10,0,
10410,1,5,21,1,1,2,1988,2003,0,16.33091,1,0,8400,1,2.5,10,1,
1450,1,5,21,1,3,2,1994,1998,0,15.64792,,0,21000,1,2.5,10,0,
10450,1,5,21,1,3,2,2002,2006,0,15.64792,1,0,8400,1,2.5,10,1,
1320,1,5,21,2,3,2,1994,1998,0,12.96317,,0,21000,1,2.5,10,0,
10320,1,5,21,2,3,2,2002,2006,0,12.96317,1,0,8400,1,2.5,10,1,
5000,1,5,24,1,3,2,1994,1998,0,11.75044,,0,21000,1,2.5,10,0,
14000,1,5,24,1,3,2,2002,2006,0,11.75044,1,0,8400,1,2.5,10,1,
5200,1,5,25,1,3,2,1994,1998,0,15.24677,,0,21000,1,2.5,10,0,
14200,1,5,25,1,3,2,2002,2006,0,15.24677,1,0,8400,1,2.5,10,1,
1451,1,5,21,1,4,2,1998,2001,0,14.52037,,0,21000,1,2.5,10,0,
10451,1,5,21,1,4,2,2006,2009,0,14.52037,1,0,8400,1,2.5,10,1,
1452,1,5,21,1,5,2,2001,2005,0,12.65614,,0,21000,1,2.5,10,0,
10452,1,5,21,1,5,2,2009,2013,0,12.65614,1,0,8400,1,2.5,10,1,
1453,1,5,21,1,6,2,2005,2009,0,11.61679,,0,21000,1,2.5,10,0,
10453,1,5,21,1,6,2,2013,2017,0,11.61679,1,0,8400,1,2.5,10,1,
1200,1,5,21,2,1,2,1980,1995,0,13.16088,,0,21000,1,2.5,10,0,
