ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
1,9,10.0,1,Road-Average moto-Conventional (pre-EURO)-Passenger Transport,1.0,2.0,4.0,5.568075339944617
1,9,10.0,2,Road-Average moto-Conventional (pre-EURO)-Passenger Transport,1.0,2.0,4.0,1.1620480177046175
1,9,10.0,3,Road-Average moto-Conventional (pre-EURO)-Passenger Transport,1.0,2.0,4.0,1.6516066090646164
1,9,30.0,1,Road-Average moto-Euro 1 (1992-96)-Passenger Transport,1.0,2.0,4.0,0.2753767076399999
1,9,30.0,2,Road-Average moto-Euro 1 (1992-96)-Passenger Transport,1.0,2.0,4.0,0.0
1,9,30.0,3,Road-Average moto-Euro 1 (1992-96)-Passenger Transport,1.0,2.0,4.0,0.0305974119599999
1,9,40.0,1,Road-Average moto-Euro 2 (1996-2001)-Passenger Transport,1.0,2.0,4.0,0.2753767076399999
1,9,40.0,2,Road-Average moto-Euro 2 (1996-2001)-Passenger Transport,1.0,2.0,4.0,0.0
1,9,40.0,3,Road-Average moto-Euro 2 (1996-2001)-Passenger Transport,1.0,2.0,4.0,0.0305974119599999
1,9,70.0,1,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,70.0,2,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,70.0,3,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,80.0,1,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,80.0,2,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,80.0,3,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,81.0,1,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,81.0,2,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,81.0,3,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,90.0,1,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,90.0,2,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,90.0,3,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,100.0,1,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,100.0,2,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,100.0,3,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,110.0,1,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,110.0,2,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,110.0,3,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,120.0,1,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0974987871
1,9,120.0,2,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,120.0,3,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.04874939355
1,9,130.0,1,Road-Medium (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,2.0,0.0194065032857142
1,9,130.0,2,Road-Medium (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,130.0,3,Road-Medium (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,140.0,1,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.0194065032857142
1,9,140.0,2,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,140.0,3,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,150.0,1,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.0194065032857142
1,9,150.0,2,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,150.0,3,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,160.0,1,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.0194065032857142
1,9,160.0,2,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,160.0,3,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,170.0,1,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.0194065032857142
1,9,170.0,2,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
1,9,170.0,3,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.0097032516428571
