Year,OMOKA,ELECTRICDREAMS,KUJINAO,STREETFIGHTING
2015,356.4495477330138,355.51210289224764,334.2150940497548,358.28040755622715
2016,370.8840495460295,369.75717579088456,348.0214628172789,374.0014943955055
2017,372.23765171744606,371.0091004838548,350.92060844280684,376.4157945963502
2018,377.5493325108277,376.05440541820735,358.03150354464134,382.79491154331464
2019,383.95933218269244,382.50194411674244,366.9959598295717,391.73206880205765
2020,326.3719270340999,325.0524871054329,311.54145614890007,335.53657945746613
2021,357.04954838710063,361.9170512277862,346.33200725435785,375.5970608817587
2022,374.7083915707687,387.7896664456096,368.7773979515537,403.3972267703216
2023,350.3333421703569,369.2285122809934,347.3838590750509,380.471880904185
2024,381.24632712580654,411.2475303943907,383.2831798014767,422.08141177481775
2025,376.43546548745985,408.172179934864,373.5868430378675,412.7772330790722
2026,376.7874533082595,414.5874736666,372.2635069470021,415.69988671909033
2027,374.863550838385,417.69801686687117,367.7246595474803,415.0370344464748
2028,370.4665414760395,416.9684468204109,361.5290313114736,413.0432429163369
2029,366.240824542385,415.34319107124605,356.217314133422,411.24311087236566
2030,361.02954602063147,409.27014082469185,349.88652635199463,408.3337108107389
2031,355.4611977495506,398.80808875701945,343.80054164153,405.4482598457067
2032,349.65032578481646,388.05661047618327,338.51642921949093,403.5108687292259
2033,341.3769485546516,374.88760109617516,332.6040659435242,401.3594299089194
2034,336.0483193612168,364.57272641758254,328.8886674763086,400.7351441121463
2035,331.0510257283945,354.2907394126642,326.28530765518906,402.1685662582328
2036,326.6240892522334,344.6213660325437,324.51883197183383,405.44883011045556
2037,323.2870522491076,335.6798280354597,322.8671304409768,409.42096248834963
2038,320.08633453495275,325.2945476791141,319.4643874829846,412.5699471909222
2039,317.8334927386025,316.5696207527838,316.93745550794654,416.2745366872327
2040,316.052716290926,307.8802838614974,314.0568522144869,420.16935369629067
2041,314.44958872431033,300.0434813280187,311.1735499714275,424.2494180612613
2042,313.8208427544175,293.30682389865484,308.88176139670145,428.9670613711591
2043,313.31551991653913,287.05421771930287,306.16879323832273,432.9739010380028
2044,314.73810270098903,283.40210186036893,304.6904049406142,437.6177468444984
2045,317.3291075017585,281.6531059421207,303.76005973584205,442.5166125447229
2046,320.71412452961704,281.6073481003281,303.26350596570916,447.48714801315185
2047,324.7477473132854,283.04921280373026,303.2603935918396,452.81371407176624
2048,330.5939094462753,284.95513868426684,303.3543273032197,457.0032289556042
2049,335.30851566961496,287.7986160203983,303.9148248734841,461.27897615803437
2050,340.6752920782831,291.3880370172675,304.9427550059852,465.6852049237827
