Year,omoka,electricdreams,kujinao,streetfighting
2015,15.51292539890524,15.485226702228289,14.457712684333766,15.392070538386392
2016,15.19506503585485,15.215877743688527,14.299034123915495,15.266257599139994
2017,14.943794572709903,14.985306017221616,14.156842349398856,15.078653370163478
2018,14.87199943468813,14.931152081321112,14.199413377263452,15.074942046651474
2019,14.518055713087735,14.643426411535383,14.060360096230397,14.955148535789467
2020,12.085739846335573,12.213098009781284,11.771638111703293,12.560612850674142
2021,13.315116118683047,13.672678038594883,13.199789800196914,14.121608708291937
2022,13.01628606921754,13.711396867695003,13.259077451680081,14.470053545994967
2023,12.120494370847917,12.97213313652767,12.436540835808033,13.70015131497887
2024,12.414122489282475,13.664769222787443,13.116393834187024,14.628823802624614
2025,11.494240259375394,12.744657374517786,12.123677638913572,13.635285527603344
2026,10.11346466527666,11.476759296016155,10.863759375223133,12.587532333584614
2027,9.373676077316754,10.83207421026289,10.149536847850362,12.014796067203118
2028,8.676119567511812,10.180538362654941,9.485190579629359,11.484119517420313
2029,8.017570749724408,9.532251572351159,8.864962942542908,10.974431089358855
2030,7.390105154720311,8.840893139501821,8.263254765068833,10.433723329436603
2031,6.794660074681971,8.119453375800598,7.688443177350985,9.881204332081316
2032,6.25075116810393,7.459624163642822,7.163566925604098,9.366944939839266
2033,5.727941044123917,6.822506726121938,6.6648223204909955,8.870340738875647
2034,5.257985300198489,6.289894410679063,6.241059208262584,8.431003478125714
2035,4.835243590577184,5.794983800499464,5.868620431422028,8.063525791507764
2036,4.45889058498695,5.345645874225953,5.5423996347963405,7.761042994524985
2037,4.13050989723642,4.941413549495474,5.239911112332175,7.481416317438304
2038,3.820603252674183,4.553546409847359,4.9302384750388635,7.204630649832522
2039,3.555515825956372,4.218928425283379,4.656050051406604,6.952259040923297
2040,3.313481095111087,3.9091062709977122,4.3906342098924265,6.705961304857372
2041,3.087594372223009,3.626337459984493,4.138730543070877,6.470530955606784
2042,2.8886605021241922,3.381345125838476,3.909814087724477,6.2561000623450225
2043,2.7065550056002374,3.162637897476963,3.692830173591845,6.049609435696467
2044,2.5482757581665028,2.9784742079843403,3.501581018592538,5.865992448626515
2045,2.404546992953509,2.815238417875257,3.3208935139977855,5.686692487072581
2046,2.271986259783627,2.6683769510403805,3.1510313120716544,5.515287027665292
2047,2.1542406424436464,2.5391119785341933,2.994645351924603,5.356418562680628
2048,2.045897126730128,2.4189241270219446,2.846041636680934,5.198322606210537
2049,1.9477512896431999,2.3094534969466634,2.7105793266853984,5.0502215512992015
2050,1.8575903182921427,2.208050023957319,2.583887270555844,4.906559663890009
