Label,"Moto, Petrol","Moto, Battery Electric","Moto, Diesel","Moto, Biofuels/Mixes","Moto, Hydrogen","Moto, Jet Fuel","Moto, CNG/LPG","Car, Petrol","Car, Battery Electric","Car, Diesel","Car, Biofuels/Mixes","Car, Hydrogen","Car, Jet Fuel","Car, CNG/LPG","Bus/Matatu, Petrol","Bus/Matatu, Battery Electric","Bus/Matatu, Diesel","Bus/Matatu, Biofuels/Mixes","Bus/Matatu, Hydrogen","Bus/Matatu, Jet Fuel","Bus/Matatu, CNG/LPG","Truck, Petrol","Truck, Battery Electric","Truck, Diesel","Truck, Biofuels/Mixes","Truck, Hydrogen","Truck, Jet Fuel","Truck, CNG/LPG","Train, Petrol","Train, Battery Electric","Train, Diesel","Train, Biofuels/Mixes","Train, Hydrogen","Train, Jet Fuel","Train, CNG/LPG","Ship, Petrol","Ship, Battery Electric","Ship, Diesel","Ship, Biofuels/Mixes","Ship, Hydrogen","Ship, Jet Fuel","Ship, CNG/LPG","Aeroplane, Petrol","Aeroplane, Battery Electric","Aeroplane, Diesel","Aeroplane, Biofuels/Mixes","Aeroplane, Hydrogen","Aeroplane, Jet Fuel","Aeroplane, CNG/LPG"
Baseline 2015,17226471841.33529,852832108.7360382,0.0,0.0,0.714968473314314,0.0,0.0,12054924812.80387,15407.251202387282,9809947374.774733,0.0,0.0,0.0,0.0,96700179.04136324,22394260.88635812,5077852905.71538,3105204.785635747,0.0,0.0,79930735.98481719,2489566559.052037,353178.71324447304,10798753697.105774,0.0,0.0,0.0,16685655.922628935,0.0,9231112.200723156,12616012.87865233,0.0,0.0,0.0,0.0,0.0,0.0,1640458.474867046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44524739.2008241,0.0
Omoka 2030,6837042454.630131,23767052104.69665,0.0,0.0,9.060833194851622,0.0,0.0,15884183103.470636,750488917.9609302,15844117172.78019,0.0,0.0,0.0,0.0,102097174.72571358,4576327608.367127,2272584442.1128163,2362651.60335758,1.291866683073018,0.0,7623267.182161422,5110711642.698543,509066548.5705128,27422640640.869,0.0,0.0,0.0,63618.9861324965,0.0,80665734.85666594,8403484.686823498,0.0,0.0,0.0,0.0,0.0,0.0,1811975.4458894024,0.0,0.0,0.0,0.0,0.0,863211.2867417167,0.0,0.0,1247.25558725558,60030249.332839936,0.0
Omoka 2040,513939155.0610519,37672031163.41264,0.0,0.0,1.869253779540614,0.0,0.0,11681808384.293762,17042410391.518442,10638745994.694023,0.0,0.0,0.0,0.0,13279552.514674688,8048629734.284481,173873142.33586854,242692.06682917007,0.0,0.0,34.12572624483802,3184410820.189784,21390928222.21088,31463591930.659157,0.0,1426712004.7384076,0.0,0.0,0.0,310162235.8402975,7553033.144250535,0.0,0.0,0.0,0.0,0.0,0.0,1857240.8536101608,0.0,0.0,0.0,0.0,0.0,12877651.850430952,0.0,0.0,9526.021049310892,65421178.670618445,0.0
Omoka 2050,69965132.04649094,45174233948.25682,0.0,0.0,1.450170449002197,0.0,0.0,7961710425.851318,30229905477.146,7126682028.143081,0.0,0.0,0.0,0.0,209443.4680304232,9529188340.477304,20951195.56595392,10455.656754684856,0.156740717627279,0.0,0.0,1521730698.637285,55546413728.01426,25054980326.67276,0.0,3782194064.197794,0.0,0.0,0.0,626315582.3107814,1689670.2013582431,0.0,0.0,0.0,0.0,0.0,0.0,1866021.484602239,0.0,0.0,0.0,0.0,0.0,36852193.13410929,0.0,0.0,48745.64056844829,64841150.79516069,0.0
Electric Dreams 2030,5117280054.837465,45378375284.37368,0.0,0.0,2.9738138201951267,0.0,0.0,21310362368.735363,5158059605.615719,23056767473.406403,0.0,0.0,0.0,0.0,102906066.7497106,1849659280.8824053,3463979248.5590296,3034798.857178278,2.013475275397525,0.0,8236807.673186026,4825553456.398123,742542224.3333994,26213925329.14337,0.0,0.0,0.0,63612.18697747978,0.0,38575513.358409785,6978670.554190108,0.0,0.0,0.0,0.0,0.0,0.0,1821341.829781887,0.0,0.0,0.0,0.0,0.0,1099367.9807143004,0.0,0.0,1190.76315252542,62502961.13807968,0.0
Electric Dreams 2040,108719838.7872377,73126428348.01231,0.0,0.0,0.0,0.0,0.0,13053460744.310797,42542424920.592926,13804337563.96126,0.0,0.0,0.0,0.0,22180994.90678328,4237928689.1039753,1574229107.8204212,1118431.021860544,2.435860776972554,0.0,32.4568754095367,2115232580.401851,25205191905.39784,28707761485.56562,0.0,0.0,0.0,0.0,0.0,144882096.8721282,5689466.652856525,0.0,0.0,0.0,0.0,0.0,0.0,1870990.8828213864,0.0,0.0,0.0,0.0,0.0,37708684.00169999,0.0,0.0,8650.429869305759,83135778.35710359,0.0
Electric Dreams 2050,13210956.938564776,98036599824.07802,0.0,0.0,0.111765249832807,0.0,0.0,11951890181.593998,69251789017.98904,9334255033.347494,0.0,0.0,0.0,0.0,1724462.370447095,5447259067.996922,578495107.2842343,268787.9674454635,2.055211556495351,0.0,0.0,220641329.88797176,64773625599.08745,20867347142.02872,0.0,0.0,0.0,0.0,0.0,294462206.169555,1285310.829644004,0.0,0.0,0.0,0.0,0.0,0.0,1884872.210212049,0.0,0.0,0.0,0.0,0.0,120268373.5609752,0.0,0.0,42769.94782514969,76751878.5731625,0.0
Kujinao 2030,7403586509.171877,23045954347.09339,0.0,0.0,12.241124336398451,0.0,0.0,18636889036.661865,348520810.19878733,13033093920.641874,0.0,0.0,0.0,0.0,117204573.0736499,2065100735.7096207,4528968504.36577,3821331.574596241,4.943620304787013,0.0,14969471.953519726,3813420560.9171095,119561134.52052449,19142791239.42312,0.0,0.0,0.0,420541.61360738403,0.0,40398303.00280303,28727835.84008907,0.0,0.0,0.0,0.0,0.0,0.0,1898164.697195168,0.0,0.0,0.0,0.0,0.0,1637835.4230255338,0.0,0.0,1469.6936170288668,62167114.48684006,0.0
Kujinao 2040,923635642.4694916,38496110561.20079,0.0,0.0,5.871196320783585,0.0,0.0,17902492393.75856,7738331603.577658,13589733013.23711,0.0,0.0,0.0,0.0,39907475.76937534,4017344803.604708,3880844868.66814,2251711.1042353725,18.53695198728023,0.0,43.83749541148066,3189691512.769376,2787189640.298637,32353447764.951702,0.0,0.0,0.0,0.0,0.0,158721371.38940406,59386225.09972096,0.0,0.0,0.0,0.0,0.0,0.0,1959820.908780326,0.0,0.0,0.0,0.0,0.0,13832721.160724754,0.0,0.0,8033.716202504601,66939941.1602853,0.0
Kujinao 2050,274898672.4764109,48838785913.24703,0.0,0.0,6.827954812660405,0.0,0.0,11820957497.180277,24095137828.632,10530901171.177242,0.0,0.0,0.0,0.0,4690453.984380839,6212556378.048647,2906960806.573976,1003111.000944412,33.95173014952845,0.0,0.0,3320429242.5906954,8688611182.749773,42645881617.46114,0.0,0.0,0.0,0.0,0.0,316927666.24109995,99875266.11827266,0.0,0.0,0.0,0.0,0.0,0.0,1988358.038943258,0.0,0.0,0.0,0.0,0.0,38601713.49515432,0.0,0.0,41685.46700178407,63857028.25673437,0.0
Streetfighting 2030,13031711954.623466,12604702318.08722,0.0,0.0,38.629475451745726,0.0,0.0,17764314744.542725,70193250.75012751,14295977081.676432,0.0,0.0,0.0,0.0,123321276.9120654,926681831.1974272,5254420118.454278,4261885.133420905,12.67233792900945,0.0,7720326.4888845775,8424990036.722871,0.0,20452386855.97177,0.0,0.0,0.0,64902.02883924208,0.0,6423423.537171404,23885463.251607776,0.0,0.0,0.0,0.0,0.0,0.0,1859618.5182104823,0.0,0.0,0.0,0.0,0.0,1097212.297281658,0.0,0.0,1051.8894848488003,60378962.96174946,0.0
Streetfighting 2040,6109136553.718144,24816205902.17068,0.0,0.0,118.56194859216636,0.0,0.0,23108846354.75635,601982891.1183037,15048344983.11633,0.0,0.0,0.0,0.0,54910750.01303614,1630267807.5288482,5936387031.677131,3411942.7789092143,64.28206929254277,0.0,34.02532744445348,13039991160.722565,0.0,29683093425.241577,0.0,0.0,0.0,0.0,0.0,7308455.541520748,34201083.804243565,0.0,0.0,0.0,0.0,0.0,0.0,1946911.0882255377,0.0,0.0,0.0,0.0,0.0,15311309.49661019,0.0,0.0,6958.208258467384,62229529.30153269,0.0
