Label,"Moto, Petrol","Moto, Battery Electric","Moto, Diesel","Moto, Biofuels/Mixes","Moto, Hydrogen","Moto, Jet Fuel","Moto, CNG/LPG","Car, Petrol","Car, Battery Electric","Car, Diesel","Car, Biofuels/Mixes","Car, Hydrogen","Car, Jet Fuel","Car, CNG/LPG","Bus/Matatu, Petrol","Bus/Matatu, Battery Electric","Bus/Matatu, Diesel","Bus/Matatu, Biofuels/Mixes","Bus/Matatu, Hydrogen","Bus/Matatu, Jet Fuel","Bus/Matatu, CNG/LPG","Truck, Petrol","Truck, Battery Electric","Truck, Diesel","Truck, Biofuels/Mixes","Truck, Hydrogen","Truck, Jet Fuel","Truck, CNG/LPG","Train, Petrol","Train, Battery Electric","Train, Diesel","Train, Biofuels/Mixes","Train, Hydrogen","Train, Jet Fuel","Train, CNG/LPG","Ship, Petrol","Ship, Battery Electric","Ship, Diesel","Ship, Biofuels/Mixes","Ship, Hydrogen","Ship, Jet Fuel","Ship, CNG/LPG","Aeroplane, Petrol","Aeroplane, Battery Electric","Aeroplane, Diesel","Aeroplane, Biofuels/Mixes","Aeroplane, Hydrogen","Aeroplane, Jet Fuel","Aeroplane, CNG/LPG"
Baseline 2015,989957.887939454,49009.9118652344,0.0,0.0,0.0,0.0,0.0,334111.6018612763,0.4267863074510391,211850.01647170563,0.0,0.0,0.0,0.0,13832.169810092057,434.9040143489839,106421.09931701898,70.3009072757704,0.0,0.0,1737.6299045085916,10971.41521915307,1.2868601307745853,51131.83016893111,0.0,0.0,0.0,76.86142065678051,0.0,1046.311758898548,329.37642331748066,0.0,0.0,0.0,0.0,0.0,0.0,50.10000109885426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.20316854215648,0.0
Omoka 2030,438873.8349810243,1525621.2145519853,0.0,0.0,0.0005816203028246,0.0,0.0,428943.51945135306,16672.5168096029,399742.3372838766,0.0,0.0,0.0,0.0,3849.9343484763126,124495.42209048384,62041.0592259068,73.59272093965637,0.0,0.0,217.7245482750626,21422.36407386205,1901.6800306123628,102300.53740608504,0.0,0.0,0.0,0.0787475729425348,0.0,4496.143991553332,208.61136425106807,0.0,0.0,0.0,0.0,0.0,0.0,50.10000091096027,0.0,0.0,0.0,0.0,0.0,3.8085762348491694,0.0,0.0,0.0008156921494446,184.87256374467972,0.0
Omoka 2040,32215.67427381097,2361427.230335114,0.0,0.0,0.0,0.0,0.0,372293.0839890468,457742.0961811,308526.91189833643,0.0,0.0,0.0,0.0,473.6478401117781,215463.9849764891,4585.196702242644,7.789594234353842,0.0,0.0,0.0009014600019847,10193.65405781234,62499.00610471196,95733.29861204948,0.0,3317.7981768227746,0.0,0.0,0.0,6485.999367479936,110.09000166759314,0.0,0.0,0.0,0.0,0.0,0.0,50.0999987413827,0.0,0.0,0.0,0.0,0.0,55.456602596212186,0.0,0.0,0.0047379936268043,152.2637282023819,0.0
Omoka 2050,4314.45172760674,2785702.577607858,0.0,0.0,0.0,0.0,0.0,277717.3266043513,1024096.9569239912,221506.99048249703,0.0,0.0,0.0,0.0,7.32689298118506,250489.54814004817,537.5285210278446,0.28014060852152317,0.0,0.0,0.0,4675.724081819373,159174.2797482802,77106.21768422099,0.0,9415.04954131039,0.0,0.0,0.0,7053.845616903107,13.679178291653448,0.0,0.0,0.0,0.0,0.0,0.0,50.0999976936107,0.0,0.0,0.0,0.0,0.0,151.5848200293549,0.0,0.0,0.020786071533962,76.28593421222305,0.0
Electric Dreams 2030,312306.2545977233,2769430.350416243,0.0,0.0,0.0001814910776696,0.0,0.0,390726.385199104,76310.73567568319,388749.3271125058,0.0,0.0,0.0,0.0,4025.9424418390727,54703.73017741782,99386.16020517664,96.4730887301138,0.0,0.0,217.79353802378094,20233.38138527109,2797.1627732561096,97797.38185821856,0.0,0.0,0.0,0.0787475696566268,0.0,4496.143991553332,208.61136425106807,0.0,0.0,0.0,0.0,0.0,0.0,50.10000091096027,0.0,0.0,0.0,0.0,0.0,4.631501110969113,0.0,0.0,0.0007945570541778,192.84000125389423,0.0
Electric Dreams 2040,6475.673835120777,4355625.481033914,0.0,0.0,0.0,0.0,0.0,237794.79677248164,678636.1962192366,230829.57166508955,0.0,0.0,0.0,0.0,814.6223131639553,123490.66817679915,43991.08023383526,33.78682332629343,0.0,0.0,0.0009172966040642,6460.829676383117,69482.35989222642,83451.84599260296,0.0,0.0,0.0,0.0,0.0,6485.999367479936,110.09000166759314,0.0,0.0,0.0,0.0,0.0,0.0,50.0999987413827,0.0,0.0,0.0,0.0,0.0,127.04186085262376,0.0,0.0,0.0044909038620062,200.3680440854836,0.0
Electric Dreams 2050,775.498233462989,5754860.278682608,0.0,0.0,0.0,0.0,0.0,201866.65309097475,1174803.0488273334,139068.09485410908,0.0,0.0,0.0,0.0,61.97756682927013,157003.45201281807,15948.51804925523,7.401190709253273,0.0,0.0,0.0,602.4277402484171,164020.23287493977,58279.65310712464,0.0,0.0,0.0,0.0,0.0,7053.845616903107,13.679178291653448,0.0,0.0,0.0,0.0,0.0,0.0,50.0999976936107,0.0,0.0,0.0,0.0,0.0,365.17159395676526,0.0,0.0,0.0191007234513449,131.65739179164993,0.0
Kujinao 2030,467146.2207909821,1454137.1621667196,0.0,0.0,0.0007723817604983,0.0,0.0,488179.482825506,7659.846874952633,324178.6344325587,0.0,0.0,0.0,0.0,4366.728958666796,56346.51810209883,124279.4559240965,118.49581634232098,0.0,0.0,430.9041531464613,21591.30250974617,595.0348626044047,95321.35218614036,0.0,0.0,0.0,0.6903875975598429,0.0,3627.613401810708,1076.1056294441007,0.0,0.0,0.0,0.0,0.0,0.0,173.56591098805566,0.0,0.0,0.0,0.0,0.0,14.755693016573812,0.0,0.0,0.0025906685859808,398.5995474695537,0.0
Kujinao 2040,57604.39321064686,2400887.2177144424,0.0,0.0,0.0002673985136425,0.0,0.0,528813.7761220167,195018.4857601358,362375.8914406956,0.0,0.0,0.0,0.0,1412.31046987508,109002.87641088772,103434.0186224551,66.21229490123761,0.0001800167319743,0.0,0.0011626191628921001,13161.31235641591,9827.444824724706,124995.79372609354,0.0,0.0,0.0,0.0,0.0,5132.232843593319,1463.6244531926277,0.0,0.0,0.0,0.0,0.0,0.0,199.3037047302068,0.0,0.0,0.0,0.0,0.0,125.31350470054892,0.0,0.0,0.011935648805462,360.9756451497418,0.0
Kujinao 2050,16807.7254725798,2986078.041822508,0.0,0.0,0.0004174716085856,0.0,0.0,388731.5048947488,725980.5116540128,308504.2644873534,0.0,0.0,0.0,0.0,161.9817835789007,165426.17666508944,75877.5493063701,26.798037798435043,0.0007912597407084,0.0,0.0,12704.614643062909,29186.93648421123,156692.27602300205,0.0,0.0,0.0,0.0,0.0,5538.320835128943,1529.203298378574,0.0,0.0,0.0,0.0,0.0,0.0,200.3999747987321,0.0,0.0,0.0,0.0,0.0,318.41553356789484,0.0,0.0,0.0461508336255462,190.6612638880013,0.0
